Hugo_Symbol,n_variants,n_predicted_artifacts,artifact_rate,mean_probability
DYNC1I1,15,9,0.6,0.7035636
HERC2P3,15,9,0.6,0.64055383
KIF4B,15,9,0.6,0.6537392
MAG,15,9,0.6,0.606233
POLE,15,9,0.6,0.6912956
TLR7,15,9,0.6,0.598588
VPS13B,15,9,0.6,0.73424685
BDP1,16,9,0.5625,0.66298866
CHD9,16,9,0.5625,0.6397594
FAT1,16,9,0.5625,0.643103
ZDBF2,16,9,0.5625,0.6189483
ADGRF5,17,9,0.5294117647058824,0.5446745
FGD5,17,9,0.5294117647058824,0.62813216
MYH6,17,9,0.5294117647058824,0.5606877
NWD1,17,9,0.5294117647058824,0.69579136
SCN5A,17,9,0.5294117647058824,0.5943139
ADCY10,18,9,0.5,0.6005047
CD163L1,18,9,0.5,0.6149736
ESPL1,18,9,0.5,0.5179198
GRIP1,18,9,0.5,0.5815859
HERC2,18,9,0.5,0.6304792
NAV2,19,9,0.47368421052631576,0.5642559
SLIT2,19,9,0.47368421052631576,0.63171655
ASPM,20,9,0.45,0.59869415
KSR2,20,9,0.45,0.54325056
PLCG2,21,9,0.42857142857142855,0.49915522
ADAM22,8,8,1.0,0.97357255
BAZ1A,8,8,1.0,0.9377456
CDK12,8,8,1.0,0.9551304
KMT2E,8,8,1.0,0.96866196
NRP2,8,8,1.0,0.92748576
OR2A7,8,8,1.0,0.9746524
AC004593.2,9,8,0.8888888888888888,0.8665874
BRAF,9,8,0.8888888888888888,0.88932157
BRCA1,9,8,0.8888888888888888,0.85664856
CSF2RA,9,8,0.8888888888888888,0.9422715
CTNND2,9,8,0.8888888888888888,0.8141437
CUL9,9,8,0.8888888888888888,0.8610228
DGKK,9,8,0.8888888888888888,0.81701714
EEF1A1,9,8,0.8888888888888888,0.9196148
ENAM,9,8,0.8888888888888888,0.8416237
HECTD1,9,8,0.8888888888888888,0.915978
KDM7A,9,8,0.8888888888888888,0.8750918
KRT16,9,8,0.8888888888888888,0.8784287
MMRN1,9,8,0.8888888888888888,0.901606
MYH7,9,8,0.8888888888888888,0.9460042
NPTX2,9,8,0.8888888888888888,0.93354225
PCDH18,9,8,0.8888888888888888,0.9492802
PLCH1,9,8,0.8888888888888888,0.91839135
SEMG2,9,8,0.8888888888888888,0.8622009
SRGAP3,9,8,0.8888888888888888,0.8368466
SSTR4,9,8,0.8888888888888888,0.9131824
TYR,9,8,0.8888888888888888,0.86673605
XRN1,9,8,0.8888888888888888,0.9099125
ZNF532,9,8,0.8888888888888888,0.8944416
ZNFX1,9,8,0.8888888888888888,0.9517162
ARAP2,10,8,0.8,0.82714635
C6,10,8,0.8,0.8178421
CARD11,10,8,0.8,0.77678645
CDH1,10,8,0.8,0.90692043
CR1,10,8,0.8,0.81832945
CYLD,10,8,0.8,0.854963
HEATR5B,10,8,0.8,0.85252553
HTR3A,10,8,0.8,0.7935682
IGSF9,10,8,0.8,0.8515174
ITGA4,10,8,0.8,0.77782315
OPN5,10,8,0.8,0.8328905
PAPPA2,10,8,0.8,0.8193302
PPL,10,8,0.8,0.7606772
PPP4R4,10,8,0.8,0.8316881
SLC9C1,10,8,0.8,0.7785649
STXBP5L,10,8,0.8,0.81329715
SYDE2,10,8,0.8,0.8196136
TIMD4,10,8,0.8,0.849726
VIRMA,10,8,0.8,0.85009015
ZNF335,10,8,0.8,0.7918003
BMS1,11,8,0.7272727272727273,0.71759605
BRWD3,11,8,0.7272727272727273,0.70367914
CDCP1,11,8,0.7272727272727273,0.7931874
COL6A2,11,8,0.7272727272727273,0.7248533
DSCAM,11,8,0.7272727272727273,0.8159641
GABRA4,11,8,0.7272727272727273,0.69747806
KCNV1,11,8,0.7272727272727273,0.72404766
KMT2A,11,8,0.7272727272727273,0.7105146
OR8K3,11,8,0.7272727272727273,0.80407834
PCDH15,11,8,0.7272727272727273,0.69944793
PCK1,11,8,0.7272727272727273,0.7428911
PHLDB2,11,8,0.7272727272727273,0.7611958
PTPRM,11,8,0.7272727272727273,0.7114757
RP1L1,11,8,0.7272727272727273,0.7683153
SCN1A,11,8,0.7272727272727273,0.72675973
SHROOM3,11,8,0.7272727272727273,0.74385583
SLC26A3,11,8,0.7272727272727273,0.9090426
VCAN,11,8,0.7272727272727273,0.7780418
WNT2,11,8,0.7272727272727273,0.71811247
XIRP1,11,8,0.7272727272727273,0.7144161
ZC3H13,11,8,0.7272727272727273,0.7593006
ZNF99,11,8,0.7272727272727273,0.77636415
ASXL1,12,8,0.6666666666666666,0.72182566
BSN,12,8,0.6666666666666666,0.6671881
C9orf131,12,8,0.6666666666666666,0.73323447
CACNA1D,12,8,0.6666666666666666,0.6911188
CD33,12,8,0.6666666666666666,0.7593996
CEMIP2,12,8,0.6666666666666666,0.6508827
CHGB,12,8,0.6666666666666666,0.71519876
COL6A6,12,8,0.6666666666666666,0.6954711
CPS1,12,8,0.6666666666666666,0.77243394
EGF,12,8,0.6666666666666666,0.70986384
FLNB,12,8,0.6666666666666666,0.678569
FLT4,12,8,0.6666666666666666,0.7211022
GABRB2,12,8,0.6666666666666666,0.71308565
GFRAL,12,8,0.6666666666666666,0.7080238
KCNQ5,12,8,0.6666666666666666,0.6852226
MDN1,12,8,0.6666666666666666,0.6730719
MYO1D,12,8,0.6666666666666666,0.70189863
NLRP8,12,8,0.6666666666666666,0.7308666
PLCL1,12,8,0.6666666666666666,0.7268264
PTPRD,12,8,0.6666666666666666,0.64119506
SEMA3C,12,8,0.6666666666666666,0.7020752
SLC1A6,12,8,0.6666666666666666,0.72350454
STK31,12,8,0.6666666666666666,0.7774434
TLN1,12,8,0.6666666666666666,0.7584862
AKAP13,13,8,0.6153846153846154,0.6724896
AL592490.1,13,8,0.6153846153846154,0.73675346
CIITA,13,8,0.6153846153846154,0.5953076
COL4A6,13,8,0.6153846153846154,0.5933767
FAM47B,13,8,0.6153846153846154,0.61834615
GLI2,13,8,0.6153846153846154,0.5786811
GON4L,13,8,0.6153846153846154,0.6211308
MYCBP2,13,8,0.6153846153846154,0.6717449
NTSR1,13,8,0.6153846153846154,0.657776
PCDHA8,13,8,0.6153846153846154,0.6405291
PCDHB5,13,8,0.6153846153846154,0.71620494
PDE4DIP,13,8,0.6153846153846154,0.745191
STAG2,13,8,0.6153846153846154,0.57395685
TENM4,13,8,0.6153846153846154,0.6887064
UGT2B4,13,8,0.6153846153846154,0.6551039
FLNC,14,8,0.5714285714285714,0.6653827
HIVEP1,14,8,0.5714285714285714,0.637396
MYO1B,14,8,0.5714285714285714,0.6257278
NRXN1,14,8,0.5714285714285714,0.5971945
SCN7A,14,8,0.5714285714285714,0.7032439
SIPA1L2,14,8,0.5714285714285714,0.72609633
SIPA1L3,14,8,0.5714285714285714,0.5619611
SMARCA2,14,8,0.5714285714285714,0.6043848
SSPOP,14,8,0.5714285714285714,0.62278306
TG,14,8,0.5714285714285714,0.67023
TNC,14,8,0.5714285714285714,0.61275184
TPTE2,14,8,0.5714285714285714,0.5886356
ZNF407,14,8,0.5714285714285714,0.6170497
COL5A1,15,8,0.5333333333333333,0.5629898
KDR,15,8,0.5333333333333333,0.67675805
ANK3,16,8,0.5,0.55850303
BPTF,16,8,0.5,0.5533208
CDH9,16,8,0.5,0.54630756
RBM47,16,8,0.5,0.6119348
SIM1,16,8,0.5,0.6048456
ATP10B,17,8,0.47058823529411764,0.53816366
CHD5,17,8,0.47058823529411764,0.5240083
LAMA3,17,8,0.47058823529411764,0.4888377
MUC2,17,8,0.47058823529411764,0.57084435
RP1,17,8,0.47058823529411764,0.57238865
ARFGEF3,18,8,0.4444444444444444,0.5172679
ZNF831,19,8,0.42105263157894735,0.47634783
MYO15A,20,8,0.4,0.45700207
TRPM2,20,8,0.4,0.51362073
PCDHA12,21,8,0.38095238095238093,0.610822
MROH2B,22,8,0.36363636363636365,0.45572698
CFAP47,24,8,0.3333333333333333,0.36649892
RB1,28,8,0.2857142857142857,0.2889726
ADAMTS10,7,7,1.0,0.94083613
AKAP11,7,7,1.0,0.9807674
AMPH,7,7,1.0,0.9677308
AXL,7,7,1.0,0.98457056
CLDN4,7,7,1.0,0.9258572
COBLL1,7,7,1.0,0.9716493
COG4,7,7,1.0,0.9642212
COL5A2,7,7,1.0,0.9493195
KIAA0753,7,7,1.0,0.9855504
MX2,7,7,1.0,0.89517313
NCAPG2,7,7,1.0,0.9483323
PLCE1,7,7,1.0,0.9528039
PYHIN1,7,7,1.0,0.97628105
SEC31A,7,7,1.0,0.9400076
SLC26A5,7,7,1.0,0.9628357
TTC30A,7,7,1.0,0.98055017
ABCB8,8,7,0.875,0.9395246
ADAM7,8,7,0.875,0.8792362
ARSK,8,7,0.875,0.881521
C14orf39,8,7,0.875,0.8473517
CDH20,8,7,0.875,0.9359192
CDKL5,8,7,0.875,0.8405824
CEP126,8,7,0.875,0.87250066
CTAGE1,8,7,0.875,0.851697
DIDO1,8,7,0.875,0.84159106
EYA4,8,7,0.875,0.8647385
KDM2B,8,7,0.875,0.8348259
KIR2DL4,8,7,0.875,0.9108177
KLHL13,8,7,0.875,0.83278793
LPIN1,8,7,0.875,0.86059016
MTUS2,8,7,0.875,0.8661525
OR10H5,8,7,0.875,0.9000128
OR1S1,8,7,0.875,0.91172284
OR2T33,8,7,0.875,0.84916705
PROKR2,8,7,0.875,0.87715495
PSG4,8,7,0.875,0.8921454
REPS2,8,7,0.875,0.8459684
RPGRIP1L,8,7,0.875,0.86749697
SAGE1,8,7,0.875,0.83812493
SERPINA3,8,7,0.875,0.8611629
SLC12A7,8,7,0.875,0.85750043
SLC26A4,8,7,0.875,0.88846576
SLITRK2,8,7,0.875,0.8751395
UHRF1BP1L,8,7,0.875,0.90171003
ZNF780B,8,7,0.875,0.82223547
ABCB1,9,7,0.7777777777777778,0.73978585
AHR,9,7,0.7777777777777778,0.77441704
ASZ1,9,7,0.7777777777777778,0.8327172
ATP10D,9,7,0.7777777777777778,0.8492819
C2orf16,9,7,0.7777777777777778,0.7579246
CCDC18,9,7,0.7777777777777778,0.85185313
CUL1,9,7,0.7777777777777778,0.8110707
DLC1,9,7,0.7777777777777778,0.8523784
DPP6,9,7,0.7777777777777778,0.7608038
EPHB6,9,7,0.7777777777777778,0.7919209
FBXL13,9,7,0.7777777777777778,0.7657144
ICE1,9,7,0.7777777777777778,0.7517412
ITGB4,9,7,0.7777777777777778,0.7541449
JHY,9,7,0.7777777777777778,0.8940326
LRRC66,9,7,0.7777777777777778,0.75257486
MAP3K4,9,7,0.7777777777777778,0.8937924
MYO6,9,7,0.7777777777777778,0.7622607
NR3C2,9,7,0.7777777777777778,0.837548
NRDC,9,7,0.7777777777777778,0.83921677
OGDH,9,7,0.7777777777777778,0.8410411
OR2T12,9,7,0.7777777777777778,0.7274595
OR2Y1,9,7,0.7777777777777778,0.7578026
OR5AR1,9,7,0.7777777777777778,0.7117614
PCDHGA2,9,7,0.7777777777777778,0.81238157
PEX1,9,7,0.7777777777777778,0.7577336
PHF3,9,7,0.7777777777777778,0.7460677
PIK3CB,9,7,0.7777777777777778,0.90657604
PPEF2,9,7,0.7777777777777778,0.8595176
PRR23B,9,7,0.7777777777777778,0.7988398
PRSS35,9,7,0.7777777777777778,0.74355984
SGO2,9,7,0.7777777777777778,0.8462298
SLC9C2,9,7,0.7777777777777778,0.83210516
SMARCA1,9,7,0.7777777777777778,0.73483807
SNRNP200,9,7,0.7777777777777778,0.7899008
TAF2,9,7,0.7777777777777778,0.7429955
TJP3,9,7,0.7777777777777778,0.7674072
UBASH3A,9,7,0.7777777777777778,0.8355269
AFDN,10,7,0.7,0.6518224
AXDND1,10,7,0.7,0.7488053
CHL1,10,7,0.7,0.7638111
CNGA4,10,7,0.7,0.79304034
COL15A1,10,7,0.7,0.7542903
DSC1,10,7,0.7,0.7616966
EMILIN2,10,7,0.7,0.73565
ERCC6L,10,7,0.7,0.7821236
ERN2,10,7,0.7,0.731888
FILIP1,10,7,0.7,0.733326
HELB,10,7,0.7,0.6794338
KIAA1549,10,7,0.7,0.7834724
LGSN,10,7,0.7,0.7068306
LILRB2,10,7,0.7,0.72042066
MATK,10,7,0.7,0.7399484
MED13,10,7,0.7,0.70931005
MSH6,10,7,0.7,0.7690498
MYO9A,10,7,0.7,0.7102071
NEK10,10,7,0.7,0.6898061
NOTCH3,10,7,0.7,0.7118536
PCDHA9,10,7,0.7,0.7315709
PCDHB6,10,7,0.7,0.7516121
PCDHGA8,10,7,0.7,0.7395012
PLCB1,10,7,0.7,0.7129685
PPP1R9A,10,7,0.7,0.77347916
PTPRC,10,7,0.7,0.7550783
RBMS3,10,7,0.7,0.84245473
TBC1D32,10,7,0.7,0.7637885
TMEM132B,10,7,0.7,0.67792636
TRIML1,10,7,0.7,0.7613251
UPF1,10,7,0.7,0.7396289
ZNF229,10,7,0.7,0.7889679
ACE,11,7,0.6363636363636364,0.6830288
ATP11A,11,7,0.6363636363636364,0.6292422
CFAP54,11,7,0.6363636363636364,0.6610232
FHDC1,11,7,0.6363636363636364,0.6404643
FLT3,11,7,0.6363636363636364,0.662612
KIAA1217,11,7,0.6363636363636364,0.72797984
KIF1B,11,7,0.6363636363636364,0.670159
MAP3K19,11,7,0.6363636363636364,0.62099653
MGAM,11,7,0.6363636363636364,0.64456457
NPHS1,11,7,0.6363636363636364,0.7031817
OR5D18,11,7,0.6363636363636364,0.6718474
PCDHB13,11,7,0.6363636363636364,0.7760373
PCNX1,11,7,0.6363636363636364,0.6757629
PIK3C2G,11,7,0.6363636363636364,0.6508635
PTCH1,11,7,0.6363636363636364,0.6009274
RASGRF2,11,7,0.6363636363636364,0.74317384
ROS1,11,7,0.6363636363636364,0.6719856
SRCAP,11,7,0.6363636363636364,0.66516936
TENM2,11,7,0.6363636363636364,0.74137723
TRPM8,11,7,0.6363636363636364,0.7217518
TULP4,11,7,0.6363636363636364,0.7491853
ZNF521,11,7,0.6363636363636364,0.84970784
ZNF676,11,7,0.6363636363636364,0.8109991
ZNF98,11,7,0.6363636363636364,0.684499
ATP6V0A4,12,7,0.5833333333333334,0.6529642
BAZ2B,12,7,0.5833333333333334,0.60607487
LYST,12,7,0.5833333333333334,0.60310453
MUC4,12,7,0.5833333333333334,0.6408903
NDST4,12,7,0.5833333333333334,0.71655375
NUP210L,12,7,0.5833333333333334,0.71570617
OLFML2B,12,7,0.5833333333333334,0.6458147
PAN3,12,7,0.5833333333333334,0.677774
PKD1L2,12,7,0.5833333333333334,0.6061743
