source_maf,rows_total,snv_rows_kept
77386e4e-8e68-4074-b043-3f083522e990.maf.gz,56,56
78271628-3f5a-4b99-a1e4-ccfd1fbdc2f8.maf.gz,103,99
78333a0f-2bd0-4d4f-b726-2dfa75fcc9de.maf.gz,91,87
7a94d2da-c8fd-483a-a1d3-4887eee51f40.maf.gz,53,49
7abc238e-2980-4638-98be-11df3ea12736.maf.gz,115,109
7b732dc5-7957-4828-968d-028f80b8adfd.maf.gz,78,70
7bb0a596-b16d-4456-8777-5644b9945708.maf.gz,72,69
7cbef184-20d5-4055-815d-78c5e20e9e32.maf.gz,27,27
7cff630c-060e-4542-b25e-a0308c0a7ac3.maf.gz,31,29
7ecedf92-8532-410c-b656-f92a90551c14.maf.gz,64,60
7f1428fe-002e-4394-b60e-9af1049fa583.maf.gz,54,48
808c2c8e-3355-4738-8904-d8b83be771cb.maf.gz,68,67
80d1a4e0-d6be-4289-b174-76e56bcb1950.maf.gz,81,77
8116383b-2bdc-43d8-ab24-e31790988e47.maf.gz,83,80
81829065-6f06-4493-902a-8bd716d764b0.maf.gz,60,58
82413c0b-31b3-4a81-b470-ba7c7b1d5c53.maf.gz,48,47
82414dc1-c28d-40da-9cdb-71f6c19a5044.maf.gz,55,52
830157d1-4b29-4766-ae58-9a4de26e3eff.maf.gz,71,57
8336c6af-ead1-487d-b435-a03c975da54e.maf.gz,70,69
83cba63a-ed43-434e-ab3e-7731d5485415.maf.gz,54,54
85395525-14b6-44aa-998d-9f2cbc0797bf.maf.gz,62,59
85d307c7-1f44-48f2-8905-208394d4eb88.maf.gz,82,79
8620a956-df26-43be-a00a-be75192167b6.maf.gz,63,61
863745a2-1fe2-47b6-bba7-63eaf68b66ce.maf.gz,100,94
865ea30d-9fdb-4999-8007-d8e09e639d38.maf.gz,63,61
8669f0e9-fdaf-49d8-ae2f-7970c9b3bf77.maf.gz,73,72
8755916d-6481-4ca2-a5f4-5c542c7e5c93.maf.gz,62,58
884d91e4-587c-404b-8464-5ff48cf943ec.maf.gz,57,51
885ab22d-4674-4647-a31d-9501d23d5828.maf.gz,51,49
8a3d3c86-da43-4101-baf2-b7ee2c52a471.maf.gz,82,78
8ba65fea-e5aa-4560-ab7d-d86d25c699fe.maf.gz,77,62
8bc61d46-10ae-424a-9a1f-bcbb8f72a716.maf.gz,41,37
8dc78176-3091-4ff9-84df-437a0197b342.maf.gz,34,32
8de11478-834a-42f0-ab0b-090d06b12b8d.maf.gz,126,121
8e323af2-20b1-4fcb-b5df-313d504a0f57.maf.gz,31,30
8e9c7c74-8713-4244-adfa-11f7f9054754.maf.gz,62,56
90d0cbc4-ce38-47ce-a99d-2f3021aee987.maf.gz,47,43
910c26fb-e184-4cce-b956-061e3ceeec92.maf.gz,65,63
91c1b5cc-a131-417e-bfe3-8b29e7b63c0d.maf.gz,65,63
923df8d2-fcdb-4596-9132-f72b2ff913aa.maf.gz,62,58
927c2f24-7d49-4532-9e3a-82319af8b926.maf.gz,82,72
92bcfa52-461e-4f8e-803f-bf914b5bfbd0.maf.gz,90,86
935f45b4-5061-40e9-952e-9b402a535685.maf.gz,42,41
9371b8de-e9b6-4392-b1dd-bc85a5881cb5.maf.gz,43,42
93cc0e41-08c7-4bd9-a910-3fafb9deadf8.maf.gz,66,65
94b019d9-8165-4c00-a5db-8cbc5f8bd4d2.maf.gz,89,78
95560c2c-9a9c-4cb4-9cdd-50fbd03f3265.maf.gz,56,53
95811b8d-1aff-4820-a9a2-5c04fa566754.maf.gz,50,44
966b6c18-c83e-4400-8b65-a6025b6dbbaa.maf.gz,28,27
97a040ad-48f0-4579-b812-47e08f0bfb5f.maf.gz,63,58
97b8d9ce-1c3f-4086-a2e2-87e9fc94777c.maf.gz,86,84
99c228a0-02df-46f2-a095-68e72e53b159.maf.gz,15218,15171
9b68ee94-38a4-440f-b8d2-f73e5be5e364.maf.gz,52,50
9bcd45ef-9e0f-45ac-af5f-2fdfd4227503.maf.gz,90,62
9bfc590f-8fd6-4a9c-88e0-081d7fafef44.maf.gz,67,64
9d535616-d2a2-443a-bc0f-e496a23e387f.maf.gz,84,78
9d651d40-d8f4-453d-b69d-6d7acaef57d3.maf.gz,90,85
9e447a67-1599-4a0d-9311-cb9651f15bdd.maf.gz,43,42
9ef716e0-da13-4464-b552-86067534f62d.maf.gz,63,60
a06e4fa4-9887-4a0c-acab-99b0aa63794e.maf.gz,56,54
a079e690-4318-4b3e-bf51-7c1d55700dbc.maf.gz,56,52
a1b4de36-90e2-45b4-b4b7-7df6cce21def.maf.gz,87,81
a3c600d0-a324-45de-bdba-02f441515da6.maf.gz,50,48
a3d17660-244f-49f4-99fb-1510b99cb6b4.maf.gz,38,37
a3d7ea4e-dd44-449a-a766-217f6fd215f3.maf.gz,79,75
a3ea7a9f-7859-47bd-8288-04d5915ced86.maf.gz,55,54
a46c5c7b-7c96-47b0-bfd9-a5a30cd99ee6.maf.gz,85,81
a489e954-de4b-4be5-8805-2e81fb3f2652.maf.gz,57,48
a49f969a-d956-42fb-b61e-299f64000dbb.maf.gz,57,56
a53c752a-f6b8-4e0c-993f-732b9128bf50.maf.gz,53,52
a5401e43-fa8c-4765-88a1-c5bd0dc20b37.maf.gz,208,196
a5686190-7ff9-421e-abf6-e30c45d38535.maf.gz,105,99
a5d28348-c7cc-4e1c-a7bf-962c328d3d77.maf.gz,122,93
a6324d34-baf0-456d-a40d-7f5504e0630d.maf.gz,37,36
a6bfa06b-e42f-4c1e-9e07-2b3a7f28905e.maf.gz,65,63
a7280605-858e-4595-82db-e7508d9a8f57.maf.gz,199,196
a836c839-cd3f-442a-9bdb-33e4e59b4ade.maf.gz,50,48
a84008d1-f3b6-43f3-b60a-52c13c6bc4bb.maf.gz,35,33
a8b91887-6067-409a-a9c3-f40d84f7a1fb.maf.gz,38,36
a9c9f82a-92d3-4efb-a5ef-e5527e4bb9ed.maf.gz,53,53
a9e4beea-4851-43dd-bbba-58139b6bc034.maf.gz,88,59
a9e9f0cd-4bcf-4f78-b4bb-88ec6174295b.maf.gz,57,57
aa29f2d7-b5fd-4c81-bdce-63df0c102c0c.maf.gz,45,41
aa3557b6-96ee-4e78-8c8d-e1a7d81df44a.maf.gz,64,60
aa35bff0-d512-4012-91b7-1757d531c654.maf.gz,69,67
aaa65ead-b512-4aab-b69a-64c904603c96.maf.gz,42,41
aabb9bae-83c0-4076-948f-ff5f4631af58.maf.gz,58,55
ac305450-994f-47e3-9196-341b3e8f21f3.maf.gz,46,43
ac6480bd-d570-45a4-8592-fee769363dd6.maf.gz,51,48
ac9bf788-25ee-4d1c-902a-3d00a8e61cfb.maf.gz,68,64
ad7776f0-f4c1-4275-abc8-02fb19ff6df6.maf.gz,98,85
ad893105-43cd-4ae8-bf96-4597e2eb1922.maf.gz,113,112
ae44838b-6db1-421d-b7b4-aee7a7933985.maf.gz,101,97
af29cb03-921e-40ff-a81b-55f0a0d25ac5.maf.gz,36,34
aff5eda3-29ea-41ad-9867-8f97b83593fa.maf.gz,12,12
b0e8e380-5777-4f65-89ff-fd91e58a6cdf.maf.gz,34,28
b0fed6aa-f40e-4092-a061-a8697dbb40db.maf.gz,80,78
b1e9ee87-fe9c-4e8c-8e45-3dbbb4b2e0d8.maf.gz,89,88
b25dc783-1dac-420f-b90c-5845e2e3996f.maf.gz,45,44
b29551e7-e05c-4a3b-b65d-2df3535bf0a4.maf.gz,80,77
b2effc6a-808e-4ed2-8b2d-f768167f24c6.maf.gz,89,75
b376b8c8-e62a-48e6-b943-090e3610c14a.maf.gz,56,54
b39c8875-5612-4ef5-9f9b-c78a72b01ea6.maf.gz,36,34
b3d93020-5118-4a15-9f91-c6923819ecfb.maf.gz,50,46
b423aa19-49ba-435c-9e91-339069c75ed2.maf.gz,91,90
b42cf2f6-b675-45e2-9f0a-5a9a0f836c92.maf.gz,51,46
b4591111-97c2-4606-9c99-e928ec4728a3.maf.gz,63,59
b4896a6c-3156-4948-bed8-68df6efb4120.maf.gz,64,59
b49b766f-5865-4715-a1e2-c513f9e45c81.maf.gz,41,35
b4df06fc-288f-4ba3-a17b-8f278bcff1f6.maf.gz,57,53
b55319e9-2dd7-4ef4-803f-6e2651cc5299.maf.gz,66,62
b586a5f4-47f0-4583-b725-4076fde0efc9.maf.gz,60,57
b6ccb27d-4af1-42f9-a2ea-d5fdf8127830.maf.gz,193,187
b730dd94-2a2d-4fef-9bf7-d3ee4b5c2003.maf.gz,68,63
b77d6cc4-83b0-4292-9e17-3b93be126eed.maf.gz,55,54
b918ab6e-cfec-40e8-af6e-fdaabfe04148.maf.gz,38,35
ba239c50-70bd-47fc-9390-fd41c803a5ca.maf.gz,61,58
ba398aa0-52ca-43c4-8ea8-d3774333ef30.maf.gz,65,64
ba3d4162-e515-4791-8370-ddadef99e1bf.maf.gz,53,52
bc444bb7-6254-4a11-9fc0-0b4324020927.maf.gz,35,33
bcba526f-1416-4f49-8a3e-bd04af0c49f9.maf.gz,42,40
bcf0f482-a35f-45da-be4b-e3773c11c106.maf.gz,68,66
bd9365e1-55cb-455e-a23b-7cbabb9e1e52.maf.gz,107,99
bd9988c2-3c4a-4601-89c8-2f4202663841.maf.gz,56,53
bed6e03a-d800-48d3-a1df-fb39f1c70aae.maf.gz,72,72
beef6d8f-5519-4002-9159-b17977a383e6.maf.gz,63,59
bf03b827-8f2e-4e3b-a8e9-c39c549ae2a7.maf.gz,73,70
bf7c0694-20b7-473d-b28f-0940878a3af7.maf.gz,48,41
bf84ce29-6631-43bc-979b-426350d89d95.maf.gz,71,71
bf9d54fb-5e3d-4d5e-b978-469a3d08ebf9.maf.gz,87,86
bffc3787-ea5a-4648-b9a3-2c073e0a9f86.maf.gz,52,50
c096fc52-ada4-4592-9407-773816340d21.maf.gz,85,82
c10d784f-5c6d-49c2-ac73-fdc65efbcdb3.maf.gz,43,40
c119d8f6-4bc9-40b5-83c3-6558dc5fe50d.maf.gz,63,57
c1791fc4-2217-4b61-b9db-9a5881646512.maf.gz,72,69
c18b9858-b318-4a68-bf8d-b517b1c0c40f.maf.gz,68,67
c1be172c-a97d-4ca0-b355-fd7dce713853.maf.gz,90,88
c1bed8e7-37a4-497c-9aee-4a37d51fb492.maf.gz,45,44
c1d0ab2d-3330-4816-a710-be6d38d43be5.maf.gz,63,63
c21dda6d-51c2-46d7-89f5-016bd8a9d674.maf.gz,70,69
c231c1a3-e5e8-4aed-93db-edeb2d563aa3.maf.gz,54,51
c24e2723-b3c7-4240-a19c-2c50b62c9a91.maf.gz,46,45
c2ba3a0e-2743-4e83-be36-2350e30e62ff.maf.gz,60,52
c2cc4832-6263-490b-bb5a-43db4ef13eac.maf.gz,51,50
c2e54cc7-fc3f-4928-9675-25e245e2c5d4.maf.gz,42,39
c3581ef2-1b14-4694-8da7-3f9243fb01af.maf.gz,29,28
c3c62150-6ee9-4ebd-b86b-9acce8d00999.maf.gz,66,63
c47801c6-baf7-47ef-91eb-7ed3e0c45ccb.maf.gz,40,38
c504b477-f051-43ed-bb74-5cd185caefb3.maf.gz,60,60
c5e59a22-4518-4085-8316-860c1cbe5f4c.maf.gz,52,50
c6d99347-e742-4b55-9ee9-9659e6de4445.maf.gz,63,61
c6e42df2-7ffd-46ce-955b-afe46a4f3d02.maf.gz,70,70
c6f474a2-2efd-4097-aaa8-86cf9becf5c4.maf.gz,58,54
c6f68649-ee2d-4400-9b02-ae02f705c73a.maf.gz,49,42
c6fafca8-a2ca-4e8e-9257-68bbda4232dc.maf.gz,60,55
c70b1e23-66db-46d3-9c94-33cf2acfbb5c.maf.gz,74,73
c74b245d-010c-4ce7-8506-0e821c2408f8.maf.gz,31,31
c99ec1f7-f635-4de5-8abc-8d7a790f6944.maf.gz,71,67
ca16ba46-fd07-4438-991c-7dd08efec0e7.maf.gz,49,48
ca831040-5eef-4f3b-aef4-5f84f247cd6a.maf.gz,65,64
cad1584c-d5d0-40ec-8825-8d5af56de233.maf.gz,38,38
cb1975ee-20dc-4492-b04d-ab1c1c36a66d.maf.gz,52,52
cbb82ca3-8ba5-4d07-b99f-218ab36ac16f.maf.gz,90,84
cbd4aa41-f366-4093-b6e4-28aea63e83c7.maf.gz,98,94
cbffd96e-9ca7-4dea-be05-52fe81ada415.maf.gz,41,39
cd21f58c-a710-48b5-b69b-788575d80a33.maf.gz,680,676
cd827e34-1dc9-4b86-bd2e-6b437db18cdf.maf.gz,21,15
cda09677-0dcf-4b94-8187-a1d5da6edd7b.maf.gz,54,52
cebdfb08-9319-42df-942f-bee38568fc06.maf.gz,37,35
cf243734-2c6a-4d55-9b84-5700cd205e6d.maf.gz,21,19
cf45355c-a557-4f8b-8fdd-dadc157d4bb9.maf.gz,28,25
cf4c4b30-5a6e-4a6c-9a20-70c44a1b54a4.maf.gz,77,75
d0d495a4-1503-45bc-a683-b9a296c7d3a3.maf.gz,51,50
