index,split
272,train
273,train
274,val
275,val
276,test
277,train
278,train
279,train
280,train
281,test
282,test
283,val
284,train
285,train
286,train
287,test
288,train
289,train
290,val
291,val
292,train
293,train
294,test
295,val
296,test
297,train
298,train
299,train
300,train
301,test
302,test
303,val
304,train
305,val
306,test
307,test
308,train
309,train
310,val
311,train
312,train
313,train
314,train
315,train
316,train
317,train
318,train
319,test
320,test
321,train
322,train
323,train
324,train
325,train
326,train
327,train
328,train
329,test
330,train
331,train
332,train
333,train
334,val
335,val
336,test
337,train
338,test
339,train
340,test
341,train
342,train
343,train
344,train
345,train
346,train
347,train
348,train
349,val
350,train
351,val
352,train
353,train
354,train
355,train
356,train
357,val
358,test
359,val
360,train
361,train
362,train
363,test
364,test
365,train
366,test
367,train
368,test
369,train
370,test
371,train
372,train
373,train
374,val
375,train
376,train
377,train
378,train
379,train
380,val
381,train
382,val
383,train
384,train
385,test
386,val
387,train
388,test
389,train
390,train
391,test
392,test
393,train
394,train
395,train
396,val
397,test
398,val
399,train
400,val
401,val
402,train
403,train
404,train
405,train
406,test
407,train
408,train
409,train
410,train
411,val
412,train
413,train
414,val
415,test
416,train
417,train
418,test
419,train
420,train
421,train
422,train
423,train
424,val
425,val
426,train
427,val
428,train
429,train
430,val
431,test
432,train
433,train
434,val
435,train
436,test
437,test
438,train
439,test
440,train
441,train
442,train
443,train
444,train
445,train
446,test
447,val
448,test
449,test
450,train
451,test
452,train
453,train
454,train
455,train
456,train
457,train
458,train
459,test
460,train
461,train
462,train
463,train
464,val
465,train
466,train
467,train
468,train
469,test
470,val
471,train
472,train
473,train
474,train
475,train
476,train
477,train
478,train
479,train
480,train
481,train
482,train
483,train
484,train
485,train
486,train
487,train
488,train
489,train
490,val
491,train
492,train
493,test
494,train
495,train
496,train
497,test
498,train
499,test
500,test
501,val
502,test
503,test
504,train
505,val
506,train
507,test
508,train
509,train
510,train
511,train
512,val
513,train
514,test
515,train
516,train
517,train
518,test
519,train
520,train
521,train
522,test
523,train
524,train
525,test
526,val
527,train
528,val
529,train
530,val
531,train
532,train
533,test
534,test
535,test
536,train
537,train
538,train
539,train
540,val
541,test
542,test
543,train
544,train
545,train
546,val
547,train
548,train
549,train
550,train
551,train
552,train
553,train
554,train
555,train
556,train
557,train
558,train
559,train
560,val
561,test
562,train
563,train
564,test
565,val
566,train
567,test
568,train
569,test
570,train
571,test
572,train
573,train
574,train
575,test
576,train
577,test
578,train
579,test
580,val
581,test
582,test
583,val
584,val
585,train
586,val
587,train
588,train
589,train
590,train
591,train
592,train
593,train
594,train
595,val
596,val
597,train
598,train
599,test
600,train
601,test
602,val
603,test
604,train
605,train
606,test
607,test
608,test
609,train
610,test
611,train
612,val
613,train
614,train
615,train
616,train
617,train
618,train
619,train
620,val
621,train
622,train
623,val
624,train
625,test
626,train
627,train
628,val
629,train
630,test
631,train
632,train
633,train
634,test
635,train
636,val
637,val
638,train
639,val
640,train
641,train
642,val
643,train
644,val
645,train
646,val
647,train
648,train
649,train
650,test
651,train
652,test
653,test
654,train
655,test
656,train
657,train
658,val
659,train
660,train
661,test
662,train
663,train
664,train
665,val
666,train
667,val
668,train
669,train
670,test
671,train
672,train
673,train
674,train
675,train
676,train
677,test
678,test
679,train
680,test
681,train
682,train
683,val
684,train
685,train
686,val
687,test
688,test
689,test
690,train
691,train
692,train
693,train
694,train
695,train
696,train
697,train
698,train
699,train
700,test
701,val
702,train
703,train
704,test
705,train
706,train
707,test
708,train
709,train
710,train
711,train
712,test
713,test
714,test
715,test
716,val
717,train
718,train
719,train
720,train
721,train
722,train
723,train
724,val
725,test
726,train
727,test
728,val
729,train
730,test
731,train
732,val
733,val
734,train
735,train
736,train
737,train
738,test
739,test
740,train
741,val
742,train
743,test
744,train
745,test
746,train
747,train
748,train
749,train
750,train
751,val
752,train
753,test
754,test
755,val
756,train
757,train
758,test
759,train
760,train
761,train
762,train
763,train
764,train
765,test
766,train
767,train
768,train
769,train
770,train
771,train
772,train
773,val
774,train
775,val
776,train
777,train
778,train
779,train
780,train
781,train
782,train
783,test
784,train
785,test
786,train
787,train
788,test
789,val
790,train
791,train
792,val
793,train
794,test
795,train
796,test
797,train
798,test
799,train
800,train
801,train
802,train
803,train
804,train
805,train
806,train
807,train
808,train
809,train
810,test
811,train
812,train
813,train
814,train
815,test
816,train
817,train
818,train
819,train
820,train
821,test
822,train
823,val
824,train
825,train
826,train
827,test
828,test
829,val
830,test
831,train
832,train
833,val
834,train
835,test
836,train
837,train
838,train
839,train
840,train
841,train
842,train
843,val
844,test
845,train
846,train
847,train
848,val
849,train
850,train
851,train
852,train
853,train
854,test
855,test
856,val
857,train
858,train
859,train
860,train
861,train
862,train
863,train
864,train
865,test
866,test
867,train
868,train
869,train
870,train
871,test
872,train
873,train
874,train
875,val
876,val
877,test
878,train
879,val
880,train
881,train
882,train
883,train
884,train
885,test
886,train
887,train
888,val
889,test
890,train
891,test
892,val
893,train
894,test
895,test
896,test
897,train
898,train
899,test
900,test
901,train
902,train
903,train
904,train
905,train
906,train
907,train
908,test
909,train
910,val
911,train
912,train
913,test
914,train
915,train
916,train
917,train
918,test
919,test
920,train
921,train
922,test
923,train
924,test
925,train
926,train
927,train
928,val
929,train
930,train
931,train
932,test
933,val
934,test
935,train
936,train
937,val
938,train
939,test
940,test
941,train
942,train
943,train
944,train
945,train
946,val
947,test
948,test
949,train
950,train
951,val
952,train
953,test
954,train
955,test
956,train
957,train
958,train
959,train
960,test
961,train
962,train
963,val
964,train
965,val
966,val
967,train
968,train
969,train
970,train
971,train
972,train
973,val
974,train
975,train
976,test
977,train
978,train
979,test
980,test
981,train
982,train
983,train
984,train
985,train
986,train
987,train
988,train
989,test
990,train
991,test
992,val
993,train
994,train
995,train
996,train
997,train
998,val
999,train
1000,train
1001,test
1002,train
1003,train
1004,train
1005,val
1006,test
1007,train
1008,val
1009,train
1010,train
1011,train
1012,train
1013,train
1014,test
1015,test
1016,train
1017,val
1018,train
1019,train
1020,test
1021,train
1022,train
1023,val
1024,train
1025,test
1026,train
1027,train
1028,train
1029,train
1030,test
1031,val
1032,train
1033,train
1034,train
1035,train
1036,train
1037,train
1038,train
1039,train
1040,test
1041,val
1042,train
1043,test
1044,train
1045,train
1046,train
1047,test
1048,test
1049,test
1050,train
1051,train
1052,train
1053,val
1054,train
1055,train
1056,train
1057,train
1058,train
1059,train
1060,train
1061,train
1062,train
1063,train
1064,train
1065,train
1066,train
1067,train
1068,train
1069,train
1070,train
1071,val
1072,val
1073,train
1074,train
1075,val
1076,train
1077,val
1078,test
1079,train
1080,train
1081,train
1082,train
1083,test
1084,train
1085,test
1086,train
1087,train
1088,train
1089,test
1090,train
1091,test
1092,val
1093,train
1094,train
1095,test
1096,train
1097,train
1098,val
1099,test
1100,train
1101,train
1102,train
1103,train
1104,val
1105,test
1106,train
1107,test
1108,val
1109,test
1110,val
1111,test
1112,test
1113,train
1114,train
1115,train
1116,train
1117,test
1118,test
1119,train
1120,test
1121,val
1122,train
1123,train
1124,train
1125,train
1126,val
1127,test
1128,train
1129,train
1130,train
1131,train
1132,test
1133,test
1134,train
1135,val
1136,val
1137,val
1138,train
1139,train
1140,train
1141,test
1142,val
1143,train
1144,test
1145,train
1146,train
1147,val
1148,val
1149,train
1150,test
1151,train
1152,test
1153,val
1154,val
1155,test
1156,train
1157,train
1158,train
1159,train
1160,train
1161,val
1162,train
1163,train
1164,train
1165,test
1166,train
1167,train
1168,test
1169,test
1170,test
1171,train
1172,test
1173,val
1174,train
1175,test
1176,train
1177,train
1178,train
1179,train
1180,train
1181,test
1182,train
1183,train
1184,train
1185,train
1186,train
1187,val
1188,train
1189,train
1190,train
1191,train
1192,test
1193,test
1194,val
1195,train
1196,val
1197,train
1198,train
1199,train
1200,train
1201,train
1202,test
1203,test
1204,test
1205,val
1206,train
1207,train
1208,val
1209,train
1210,train
1211,test
1212,val
1213,train
1214,train
1215,train
1216,train
1217,val
1218,train
1219,train
1220,train
1221,test
1222,train
1223,train
1224,val
1225,train
1226,train
1227,val
1228,test
1229,train
1230,train
1231,train
1232,train
1233,train
1234,train
1235,train
1236,train
1237,train
1238,train
1239,train
1240,test
1241,train
1242,train
1243,train
1244,train
1245,train
1246,train
1247,train
1248,train
1249,val
1250,train
1251,train
1252,test
1253,val
1254,train
1255,train
1256,test
1257,test
1258,train
1259,test
1260,train
1261,train
1262,train
1263,test
1264,train
1265,train
1266,train
1267,val
1268,test
1269,train
1270,test
1271,train
1272,val
1273,train
1274,train
1275,train
1276,train
1277,train
1278,train
1279,train
1280,val
1281,train
1282,train
1283,train
1284,test
1285,test
1286,train
1287,train
1288,test
1289,train
1290,test
1291,test
1292,train
1293,train
1294,train
1295,train
1296,train
1297,train
1298,test
1299,train
1300,train
1301,train
1302,train
1303,train
1304,train
1305,train
1306,train
1307,train
1308,train
1309,test
1310,train
1311,train
1312,val
1313,train
1314,train
1315,val
1316,test
1317,train
1318,train
1319,val
1320,train
1321,train
1322,train
1323,train
1324,train
1325,train
1326,test
1327,train
1328,train
1329,val
1330,train
1331,test
1332,train
1333,train
1334,test
1335,train
1336,train
1337,train
1338,val
1339,val
1340,train
1341,test
1342,val
1343,train
1344,train
1345,train
1346,train
1347,test
1348,train
1349,test
1350,val
1351,train
1352,train
1353,train
1354,val
1355,test
1356,test
1357,train
1358,train
1359,test
1360,train
1361,test
1362,test
1363,train
1364,train
1365,train
1366,train
1367,test
1368,val
1369,train
1370,train
1371,test
1372,train
1373,train
1374,train
1375,test
1376,train
1377,train
1378,train
1379,train
1380,train
1381,train
1382,train
1383,train
1384,test
1385,train
1386,train
1387,train
1388,train
1389,train
1390,train
1391,train
1392,test
1393,test
1394,train
1395,train
1396,train
1397,train
1398,train
1399,train
1400,train
1401,train
1402,train
1403,train
1404,test
1405,test
1406,train
1407,train
1408,train
1409,test
1410,test
1411,train
1412,train
1413,val
1414,val
1415,train
1416,val
1417,train
1418,test
1419,val
1420,train
1421,train
1422,train
1423,val
1424,train
1425,train
1426,test
1427,val
1428,train
1429,test
1430,test
1431,val
1432,test
1433,train
1434,train
1435,train
1436,train
1437,train
1438,train
1439,train
1440,val
1441,train
1442,test
1443,train
1444,train
1445,val
1446,val
1447,val
1448,train
1449,train
1450,train
1451,val
1452,test
1453,train
1454,test
1455,train
1456,train
1457,train
1458,test
1459,test
1460,train
1461,train
1462,train
1463,train
1464,train
1465,train
1466,train
1467,train
1468,train
1469,train
1470,train
1471,train
1472,train
1473,train
1474,train
1475,train
1476,train
1477,train
1478,train
1479,train
1480,train
1481,train
1482,test
1483,train
1484,val
1485,val
1486,test
1487,test
1488,train
1489,train
1490,test
1491,train
1492,train
1493,train
1494,val
1495,train
1496,train
1497,val
1498,train
1499,test
1500,val
1501,train
1502,train
1503,train
1504,train
1505,train
1506,test
1507,train
1508,val
1509,train
1510,train
1511,train
1512,test
1513,test
1514,test
1515,train
1516,val
1517,train
1518,test
1519,train
1520,test
1521,train
1522,val
1523,train
1524,val
1525,train
1526,train
1527,val
1528,test
1529,train
1530,train
1531,val
1532,val
1533,test
1534,val
1535,train
1536,val
1537,train
1538,train
1539,train
1540,train
1541,train
1542,train
1543,train
1544,train
1545,train
1546,train
1547,val
1548,train
1549,val
1550,train
1551,val
1552,train
1553,val
1554,test
1555,train
1556,train
1557,test
1558,train
1559,train
1560,train
1561,train
1562,test
1563,train
1564,test
1565,train
1566,train
1567,train
1568,test
1569,train
1570,train
1571,val
1572,train
1573,train
1574,train
1575,train
1576,train
1577,test
1578,train
1579,val
1580,train
1581,test
1582,train
1583,train
1584,train
1585,test
1586,val
1587,train
1588,train
1589,train
1590,test
1591,train
1592,test
1593,test
1594,train
1595,test
1596,test
1597,train
1598,train
1599,train
1600,train
1601,train
1602,train
1603,train
1604,train
1605,train
1606,test
1607,train
1608,train
1609,train
1610,train
1611,train
1612,train
1613,test
1614,test
1615,test
1616,train
1617,train
1618,train
1619,test
1620,val
1621,train
1622,test
1623,train
1624,val
1625,train
1626,train
1627,train
1628,train
1629,val
1630,train
1631,train
1632,test
1633,val
1634,train
1635,val
1636,val
1637,test
1638,train
1639,train
1640,train
1641,val
1642,test
1643,train
1644,test
1645,train
1646,test
1647,train
1648,train
1649,train
1650,train
1651,val
1652,test
1653,train
1654,val
1655,train
1656,test
1657,train
1658,train
1659,train
1660,val
1661,test
1662,train
1663,test
1664,train
1665,test
1666,train
1667,train
1668,train
1669,train
1670,test
1671,val
1672,train
1673,test
1674,train
1675,train
1676,test
1677,train
1678,test
1679,train
1680,train
1681,train
1682,test
1683,train
1684,train
1685,test
1686,test
1687,val
1688,train
1689,train
1690,train
1691,train
1692,train
1693,train
1694,train
1695,train
1696,val
1697,val
1698,train
1699,test
1700,train
1701,test
1702,train
1703,train
1704,train
1705,test
1706,train
1707,train
1708,test
1709,test
1710,train
1711,train
1712,train
1713,train
1714,test
1715,test
1716,test
1717,val
1718,train
1719,train
1720,test
1721,val
1722,train
1723,train
1724,train
1725,val
1726,test
1727,train
1728,train
1729,train
1730,val
1731,test
1732,train
1733,train
1734,val
1735,train
1736,train
1737,train
1738,train
1739,train
1740,train
1741,train
1742,train
1743,train
1744,train
1745,train
1746,train
1747,train
1748,val
1749,train
1750,train
1751,val
1752,train
1753,train
1754,test
1755,test
1756,train
1757,train
1758,train
1759,train
1760,test
1761,test
1762,train
1763,val
1764,train
1765,train
1766,train
1767,train
1768,val
1769,test
1770,val
1771,train
1772,test
1773,train
1774,train
1775,train
1776,train
1777,train
1778,train
1779,train
1780,train
1781,val
1782,train
1783,train
1784,train
1785,train
1786,test
1787,train
1788,train
1789,train
1790,val
1791,train
1792,train
1793,train
1794,train
1795,train
1796,val
1797,train
1798,test
1799,val
1800,train
1801,test
1802,val
1803,train
1804,train
1805,val
1806,train
1807,test
1808,train
1809,train
1810,val
1811,test
1812,train
1813,train
1814,test
1815,test
1816,val
1817,test
1818,val
1819,train
1820,test
1821,train
1822,train
1823,train
1824,train
1825,train
1826,val
1827,train
1828,test
1829,train
1830,train
1831,test
1832,train
1833,train
1834,train
1835,train
1836,train
1837,train
1838,test
1839,train
1840,test
1841,test
1842,train
1843,test
1844,train
1845,train
1846,test
1847,train
1848,train
1849,train
1850,train
1851,train
1852,test
1853,val
1854,train
1855,val
1856,train
1857,val
1858,train
1859,train
1860,train
1861,train
1862,test
1863,val
1864,train
1865,test
1866,train
1867,train
1868,val
1869,train
1870,train
1871,train
1872,train
1873,val
1874,train
1875,train
1876,test
1877,test
1878,train
1879,test
1880,val
1881,train
1882,train
1883,val
1884,test
1885,train
1886,val
1887,train
1888,train
1889,train
1890,train
1891,test
1892,train
1893,val
1894,test
1895,test
1896,train
1897,train
1898,train
1899,val
1900,train
1901,train
1902,val
1903,val
1904,val
1905,train
1906,test
1907,val
1908,test
1909,val
1910,val
1911,train
1912,test
1913,train
1914,val
1915,train
1916,train
1917,val
1918,train
1919,train
1920,val
1921,val
1922,train
1923,train
1924,val
1925,train
1926,train
1927,train
1928,test
1929,train
1930,train
1931,test
1932,train
1933,train
1934,val
1935,train
1936,val
1937,train
1938,test
1939,train
1940,val
1941,train
1942,train
1943,train
1944,test
1945,train
1946,test
1947,val
1948,test
1949,train
1950,train
1951,train
1952,train
1953,train
1954,val
1955,train
1956,test
1957,test
1958,train
1959,train
1960,train
1961,test
1962,train
1963,train
1964,train
1965,train
1966,train
1967,val
1968,train
1969,test
1970,train
1971,test
1972,test
1973,train
1974,train
1975,train
1976,train
1977,train
1978,train
1979,train
1980,test
1981,train
1982,test
1983,test
1984,train
1985,test
1986,val
1987,test
1988,train
1989,test
1990,train
1991,train
1992,train
1993,train
1994,val
1995,train
1996,test
1997,test
1998,train
1999,train
2000,test
2001,train
2002,train
2003,train
2004,val
2005,train
2006,test
2007,train
2008,train
2009,train
2010,train
2011,train
2012,train
2013,test
2014,test
2015,test
2016,train
2017,train
2018,train
2019,train
2020,train
2021,train
2022,train
2023,train
2024,train
2025,test
2026,train
2027,test
2028,train
2029,train
2030,train
2031,train
2032,train
2033,test
2034,train
2035,train
2036,train
2037,train
2038,train
2039,val
2040,train
2041,train
2042,val
2043,train
2044,test
2045,test
2046,train
2047,test
2048,train
2049,train
2050,train
2051,test
2052,test
2053,test
2054,train
2055,train
2056,val
2057,train
2058,train
2059,train
2060,test
2061,test
2062,train
2063,train
2064,test
2065,train
2066,val
2067,val
2068,train
2069,train
2070,train
2071,train
2072,train
2073,train
2074,train
2075,val
2076,test
2077,val
2078,test
2079,train
2080,test
2081,test
2082,test
2083,train
2084,test
2085,train
2086,train
2087,train
2088,test
2089,test
2090,train
2091,train
2092,train
2093,val
2094,train
2095,train
2096,train
2097,train
2098,train
2099,train
2100,test
2101,test
2102,train
2103,train
2104,train
2105,train
2106,train
2107,test
2108,train
2109,train
2110,train
2111,train
2112,train
2113,train
2114,test
2115,test
2116,train
2117,val
2118,train
2119,val
2120,train
2121,test
2122,train
2123,train
2124,val
2125,train
2126,train
2127,train
2128,train
2129,test
2130,train
2131,train
2132,train
2133,train
2134,train
2135,train
2136,train
2137,train
2138,train
2139,train
2140,train
2141,test
2142,val
2143,train
2144,test
2145,train
2146,train
2147,train
2148,train
2149,train
2150,val
2151,train
2152,train
2153,train
2154,train
2155,val
2156,train
2157,val
2158,test
2159,val
2160,train
2161,test
2162,train
2163,val
2164,train
2165,test
2166,val
2167,val
2168,test
2169,train
2170,test
2171,test
2172,val
2173,test
2174,val
2175,train
2176,val
2177,val
2178,train
2179,train
2180,train
2181,train
2182,train
2183,test
2184,val
2185,train
2186,train
2187,train
2188,train
2189,test
2190,test
2191,val
2192,val
2193,train
2194,train
2195,train
2196,train
2197,train
2198,train
2199,train
2200,train
2201,train
2202,val
2203,train
2204,train
2205,train
2206,train
2207,train
2208,train
2209,val
2210,val
2211,val
2212,val
2213,train
2214,test
2215,train
2216,train
2217,train
2218,train
2219,val
2220,train
2221,train
2222,test
2223,train
2224,val
2225,train
2226,test
2227,train
2228,val
2229,train
2230,train
2231,test
2232,train
2233,train
2234,train
2235,train
2236,test
2237,train
2238,train
2239,val
2240,val
2241,train
2242,test
2243,test
2244,train
2245,train
2246,test
2247,train
2248,train
2249,train
2250,train
2251,val
2252,train
2253,train
2254,test
2255,train
2256,train
2257,train
2258,train
2259,train
2260,train
2261,train
2262,val
2263,test
2264,train
2265,test
2266,test
2267,test
2268,train
2269,train
2270,test
2271,test
2272,train
2273,train
2274,train
2275,train
2276,train
2277,train
2278,train
2279,train
2280,train
2281,train
2282,train
2283,train
2284,train
2285,val
2286,test
2287,train
2288,train
2289,train
2290,train
2291,test
2292,train
2293,train
2294,train
2295,train
2296,train
2297,train
2298,train
2299,val
2300,train
2301,val
2302,train
2303,train
2304,val
2305,train
2306,train
2307,val
2308,train
2309,train
2310,test
2311,test
2312,val
2313,test
2314,val
2315,train
2316,train
2317,train
2318,test
2319,train
2320,train
2321,train
2322,train
2323,train
2324,test
2325,val
2326,train
2327,test
2328,test
2329,val
2330,test
2331,train
2332,train
2333,train
2334,train
2335,val
2336,train
2337,val
2338,val
2339,train
2340,val
2341,test
2342,train
2343,test
2344,val
2345,train
2346,train
2347,train
2348,val
2349,train
2350,test
2351,val
2352,train
2353,val
2354,train
2355,train
2356,train
2357,val
2358,train
2359,test
2360,train
2361,train
2362,train
2363,val
2364,val
2365,train
2366,train
2367,train
2368,train
2369,val
2370,val
2371,train
2372,train
2373,train
2374,train
2375,train
2376,train
2377,train
2378,train
2379,train
2380,val
2381,train
2382,train
2383,test
2384,train
2385,train
2386,train
2387,train
2388,train
2389,train
2390,train
2391,train
2392,train
2393,train
2394,train
2395,val
2396,train
2397,val
2398,train
2399,val
2400,train
2401,train
2402,val
2403,test
2404,test
2405,train
2406,train
2407,train
2408,test
2409,train
2410,train
2411,train
2412,train
2413,train
2414,train
2415,train
2416,test
2417,val
2418,train
2419,train
2420,val
2421,test
2422,train
2423,val
2424,train
2425,test
2426,train
2427,train
2428,train
2429,train
2430,train
2431,val
2432,val
2433,train
2434,test
2435,test
2436,train
2437,test
2438,test
2439,val
2440,train
2441,train
2442,train
2443,train
2444,train
2445,train
2446,train
2447,train
2448,test
2449,train
2450,train
2451,test
2452,train
2453,test
2454,train
2455,train
2456,test
2457,val
2458,test
2459,train
2460,train
2461,train
2462,val
2463,train
2464,train
2465,test
2466,test
2467,train
2468,train
2469,train
2470,train
2471,train
2472,test
2473,train
2474,train
2475,val
2476,train
2477,test
2478,train
2479,train
2480,train
2481,train
2482,train
2483,test
2484,train
2485,train
2486,train
2487,train
2488,val
2489,test
2490,train
2491,train
2492,val
2493,train
2494,train
2495,val
2496,test
2497,train
2498,val
2499,test
2500,train
2501,test
2502,train
2503,train
2504,train
2505,train
2506,train
2507,train
2508,test
2509,train
2510,train
2511,train
2512,val
2513,test
2514,train
2515,train
2516,val
2517,train
2518,train
2519,train
2520,train
2521,test
2522,test
2523,train
2524,test
2525,train
2526,train
2527,val
2528,test
2529,test
2530,test
2531,test
2532,test
2533,train
2534,train
2535,train
2536,test
2537,train
2538,train
2539,test
2540,test
2541,train
2542,train
2543,test
2544,val
2545,train
2546,val
2547,val
2548,train
2549,train
2550,train
2551,train
2552,test
2553,train
2554,test
2555,val
2556,train
2557,test
2558,train
2559,train
2560,train
2561,train
2562,val
2563,train
2564,train
2565,val
2566,train
2567,train
2568,train
2569,train
2570,train
2571,val
2572,train
2573,train
2574,train
2575,train
2576,val
2577,train
2578,test
2579,train
2580,train
2581,train
2582,val
2583,train
2584,train
2585,train
2586,val
2587,train
2588,train
2589,train
2590,train
2591,train
2592,train
2593,val
2594,train
2595,train
2596,train
2597,test
2598,train
2599,train
2600,test
2601,train
2602,train
2603,train
2604,train
2605,train
2606,val
2607,train
2608,train
2609,train
2610,train
2611,test
2612,train
2613,test
2614,train
2615,train
2616,train
2617,train
2618,train
2619,train
2620,val
2621,train
2622,train
2623,train
2624,train
2625,test
2626,test
2627,train
2628,train
2629,test
2630,train
2631,test
2632,train
2633,train
2634,train
2635,train
2636,train
2637,val
2638,val
2639,test
2640,train
2641,test
2642,test
2643,train
2644,train
2645,train
2646,train
2647,test
2648,train
2649,train
2650,train
2651,val
2652,val
2653,train
2654,test
2655,test
2656,train
2657,train
2658,train
2659,train
2660,val
2661,val
2662,train
2663,test
2664,train
2665,test
2666,train
2667,val
2668,train
2669,train
2670,test
2671,test
2672,train
2673,test
2674,test
2675,train
2676,train
2677,val
2678,train
2679,train
2680,test
2681,train
2682,train
2683,val
2684,test
2685,train
2686,train
2687,train
2688,train
2689,train
2690,train
2691,val
2692,train
2693,val
2694,test
2695,train
2696,train
2697,train
2698,train
2699,train
2700,train
2701,train
2702,train
2703,val
2704,train
2705,val
2706,test
2707,val
2708,train
2709,train
2710,val
2711,train
2712,test
2713,val
2714,val
2715,train
2716,train
2717,test
2718,test
2719,train
2720,train
2721,train
2722,train
2723,train
2724,train
2725,val
2726,train
2727,train
2728,train
2729,test
2730,train
2731,train
2732,train
2733,val
2734,test
2735,val
2736,train
2737,train
2738,train
2739,train
2740,test
2741,train
2742,train
2743,train
2744,test
2745,test
2746,train
2747,train
2748,test
2749,test
2750,train
2751,train
2752,train
2753,train
2754,train
2755,train
2756,train
2757,test
2758,train
2759,val
2760,train
2761,train
2762,val
2763,train
2764,train
2765,val
2766,val
2767,train
2768,test
2769,train
2770,test
2771,test
2772,train
2773,train
2774,train
2775,val
2776,train
2777,train
2778,val
2779,train
2780,train
2781,train
2782,train
2783,test
2784,train
2785,train
2786,test
2787,train
2788,val
2789,train
2790,train
2791,test
2792,test
2793,train
2794,test
2795,train
2796,train
2797,train
2798,val
2799,train
2800,train
2801,train
2802,train
2803,train
2804,train
2805,train
2806,train
2807,train
2808,train
2809,train
2810,val
2811,train
2812,train
2813,train
2814,train
2815,test
2816,train
2817,train
2818,train
2819,val
2820,train
2821,test
2822,val
2823,val
2824,test
2825,train
2826,train
2827,train
2828,train
2829,train
2830,train
2831,val
2832,train
2833,val
2834,val
2835,val
2836,train
2837,train
2838,train
2839,train
2840,test
2841,val
2842,test
2843,train
2844,train
2845,train
2846,train
2847,train
2848,train
2849,val
2850,train
2851,train
2852,test
2853,train
2854,train
2855,val
2856,test
2857,train
2858,train
2859,val
2860,train
2861,val
2862,val
2863,train
2864,test
2865,train
2866,train
2867,train
2868,train
2869,val
2870,train
2871,train
2872,val
2873,test
2874,train
2875,val
2876,train
2877,train
2878,test
2879,test
2880,val
2881,test
2882,train
2883,train
2884,train
2885,val
2886,train
2887,train
2888,test
2889,test
2890,test
2891,train
2892,train
2893,train
2894,train
2895,train
2896,train
2897,train
2898,val
2899,train
2900,test
2901,train
2902,val
2903,train
2904,train
2905,val
2906,train
2907,val
2908,train
2909,train
2910,train
2911,train
2912,train
2913,train
2914,train
2915,val
2916,test
2917,train
2918,test
2919,train
2920,test
2921,val
2922,train
2923,train
2924,train
2925,val
2926,val
2927,train
2928,train
2929,train
2930,test
2931,train
2932,train
2933,test
2934,train
2935,train
2936,train
2937,train
2938,train
2939,val
2940,test
2941,val
2942,train
2943,val
2944,train
2945,train
2946,test
2947,train
2948,train
2949,test
2950,train
2951,test
2952,train
2953,train
2954,train
2955,train
2956,train
2957,train
2958,train
2959,train
2960,val
2961,test
2962,test
2963,val
2964,train
2965,train
2966,val
2967,test
2968,train
2969,test
2970,test
2971,train
2972,test
2973,train
2974,val
2975,test
2976,train
2977,train
2978,train
2979,train
2980,val
2981,train
2982,train
2983,val
2984,train
2985,train
2986,train
2987,train
2988,train
2989,train
2990,train
2991,test
2992,val
2993,train
2994,train
2995,train
2996,train
2997,train
