Tumor_Sample_Barcode,n_variants,n_artifacts,artifact_rate,mean_probability,median_probability
TCGA-06-0190-02A-01D-2280-08,99,67,0.6767676767676768,0.7090717239711986,0.92155975
TCGA-41-3393-01A-01D-1353-08,73,64,0.8767123287671232,0.8657786169942692,0.98211426
TCGA-27-1831-01A-01W-0837-08,91,64,0.7032967032967034,0.7686908989503695,0.94819003
TCGA-14-0789-01A-01D-1492-08,70,63,0.9,0.8952784067431657,0.98583715
TCGA-32-1977-01A-01D-1353-08,70,63,0.9,0.8964306204743023,0.9877766
TCGA-32-2632-01A-01D-1495-08,89,63,0.7078651685393258,0.7401968671600987,0.95578146
TCGA-16-1045-01B-01D-1492-08,81,62,0.7654320987654321,0.807708428018619,0.9695059
TCGA-27-1838-01A-01D-1494-08,95,62,0.6526315789473685,0.7164316848963537,0.9221964
TCGA-06-0214-01A-02D-1491-08,70,61,0.8714285714285714,0.864240407142,0.9422596299999999
TCGA-06-6391-01A-11D-1696-08,71,61,0.8591549295774648,0.8670039715619896,0.98961544
TCGA-06-0209-01A-01D-1491-08,73,61,0.8356164383561644,0.8367801764911176,0.9848156
TCGA-06-0939-01A-01D-1353-08,69,60,0.8695652173913043,0.8525950738390027,0.96637315
TCGA-14-1034-01A-01D-1492-08,75,60,0.8,0.8047768984937469,0.9360425
TCGA-27-1834-01A-01W-0643-08,100,60,0.6,0.6381513767711844,0.87337177
TCGA-28-1752-01A-01W-0643-08,73,59,0.8082191780821918,0.8210473950190997,0.9552862
TCGA-15-1446-01A-01W-0611-08,90,59,0.6555555555555556,0.7172503223973253,0.855766635
TCGA-06-0145-01A-01W-0224-08,107,59,0.5514018691588785,0.5979952965074703,0.82488114
TCGA-14-0871-01A-01W-0424-08,108,59,0.5462962962962963,0.5898749808176431,0.77941663
TCGA-19-5955-01A-11D-1696-08,66,58,0.8787878787878788,0.8795204852186315,0.98995005
TCGA-02-2470-01A-01W-0837-08,81,58,0.7160493827160493,0.7629846990439072,0.9656574
TCGA-06-2562-01A-01W-0837-08,85,58,0.6823529411764706,0.682366342461089,0.9157106
TCGA-14-0813-01A-01D-1492-08,100,58,0.58,0.6477941440028882,0.86112488
TCGA-27-2527-01A-01D-1494-08,61,57,0.9344262295081968,0.9123792912785464,0.9902423
TCGA-14-2554-01A-01D-1494-08,71,57,0.8028169014084507,0.8249834631776056,0.9477606
TCGA-06-0649-01B-01W-0348-08,90,57,0.6333333333333333,0.6932273061966586,0.9047107999999999
TCGA-19-1390-01A-01W-0922-08,153,57,0.37254901960784315,0.428817137528397,0.27131703
TCGA-06-0124-01A-01D-1490-08,62,56,0.9032258064516129,0.8622305819489079,0.97078
TCGA-16-1045-01B-01W-0611-08,81,56,0.691358024691358,0.7473644375816475,0.93730813
TCGA-06-0122-01A-01D-1490-08,84,56,0.6666666666666666,0.7357244424909488,0.9245740499999999
TCGA-06-0210-01B-01D-1491-08,60,55,0.9166666666666666,0.9179126208438786,0.9912061649999999
TCGA-06-6697-01A-11D-1845-08,66,55,0.8333333333333334,0.8723694327936048,0.982622145
TCGA-06-0119-01A-08D-1490-08,69,55,0.7971014492753623,0.8127986035109032,0.9768562
TCGA-14-0789-01A-01W-0424-08,72,55,0.7638888888888888,0.7706033681813987,0.9482426500000001
TCGA-06-0877-01A-01W-0424-08,88,55,0.625,0.6814682250723268,0.8545228
TCGA-28-1757-01A-02W-0643-08,95,55,0.5789473684210527,0.6294095139390034,0.8967977
TCGA-19-1390-01A-01D-1495-08,119,55,0.46218487394957986,0.503402809330798,0.5290958
TCGA-06-0749-01A-01W-0348-08,66,54,0.8181818181818182,0.8128748157911243,0.94888335
TCGA-32-1979-01A-01D-1696-08,77,54,0.7012987012987013,0.690384200769907,0.9115692
TCGA-28-5213-01A-01D-1486-08,53,53,1.0,0.9772319156603773,0.991268
TCGA-06-A5U1-01A-11D-A33T-08,78,53,0.6794871794871795,0.7172648695283228,0.9049163499999999
TCGA-06-1084-01A-01W-0611-08,82,53,0.6463414634146342,0.7316833176532751,0.9566513
TCGA-32-2632-01A-01W-0922-08,86,53,0.6162790697674418,0.6389525374466785,0.88858138
TCGA-06-0213-01A-01D-1491-08,63,52,0.8253968253968254,0.8289040772103246,0.96633106
TCGA-12-1093-01A-01W-0611-08,66,52,0.7878787878787878,0.8247134168286071,0.94691148
TCGA-19-2629-01A-01D-1495-08,70,52,0.7428571428571429,0.7809266855943429,0.9559275700000001
TCGA-19-0957-01C-01W-0643-08,86,52,0.6046511627906976,0.66001510407168,0.886234875
TCGA-19-2621-01B-01W-0922-08,86,52,0.6046511627906976,0.6370426687182824,0.891802675
TCGA-06-0192-01B-01D-1492-08,69,51,0.7391304347826086,0.7577008969875825,0.9662616
TCGA-19-2629-01A-01W-0922-08,69,51,0.7391304347826086,0.7518601053984801,0.97277236
TCGA-14-2554-01A-01W-0837-08,72,51,0.7083333333333334,0.7829238720335123,0.9453032
TCGA-06-0743-01A-01D-1492-08,94,51,0.5425531914893617,0.6307580430065516,0.84491956
TCGA-06-2558-01A-01W-0837-08,99,51,0.5151515151515151,0.5874407824044211,0.78715634
TCGA-16-1048-01B-01D-1353-08,67,50,0.746268656716418,0.7921786838124845,0.95819324
TCGA-19-2620-01A-01D-1495-08,67,50,0.746268656716418,0.7682801535171901,0.95313925
TCGA-27-2518-01A-01D-1494-08,55,49,0.8909090909090909,0.869847119086934,0.968329
TCGA-06-0190-01A-01D-1491-08,57,49,0.8596491228070176,0.8477827198017455,0.976074
TCGA-32-2491-01A-01D-1353-08,63,49,0.7777777777777778,0.7956914165651365,0.9753552
TCGA-06-0877-01A-01D-1492-08,72,48,0.6666666666666666,0.7300697458184859,0.92307323
TCGA-06-2567-01A-01W-0837-08,79,48,0.6075949367088608,0.6735999690404246,0.8931142
TCGA-28-2502-01B-01D-1494-08,53,47,0.8867924528301887,0.8982199077303075,0.9885483
TCGA-76-4927-01A-01D-1486-08,53,47,0.8867924528301887,0.8883588558981131,0.97549677
TCGA-32-2494-01A-01D-1353-08,56,47,0.8392857142857143,0.8437168708563558,0.9796594999999999
TCGA-19-1788-01A-01W-0643-08,70,47,0.6714285714285714,0.6719396413364596,0.9113901
TCGA-02-2466-01A-01W-0837-08,85,47,0.5529411764705883,0.5756677556190456,0.8618089
TCGA-14-1823-01A-01D-1494-08,54,46,0.8518518518518519,0.848698632349497,0.97169338
TCGA-RR-A6KA-01A-21D-A33T-08,58,46,0.7931034482758621,0.8047140585739797,0.9666994
TCGA-14-0736-01A-01D-2280-08,63,46,0.7301587301587301,0.7509570231467906,0.94306135
TCGA-14-3476-01B-01D-1353-08,63,46,0.7301587301587301,0.7715459643263836,0.91640735
TCGA-02-0047-01A-01D-1490-08,64,46,0.71875,0.7689352917342895,0.9345979200000001
TCGA-06-0210-02A-01D-2280-08,67,46,0.6865671641791045,0.7233074039752819,0.91152966
TCGA-14-1825-01A-01W-0643-08,86,46,0.5348837209302325,0.5446895001040442,0.8267571
TCGA-12-3649-01A-01W-0922-08,94,46,0.48936170212765956,0.5391195695191912,0.7155135850000001
TCGA-06-0169-01A-01D-1490-08,48,45,0.9375,0.9347204552083334,0.98378082
TCGA-06-5412-01A-01D-1696-08,51,45,0.8823529411764706,0.8713584302314126,0.9768413
TCGA-76-6192-01A-11D-1696-08,54,45,0.8333333333333334,0.8311089264375985,0.97856863
TCGA-02-2470-01A-01D-1494-08,57,45,0.7894736842105263,0.7804125363721085,0.9855055
TCGA-06-0645-01A-01D-1492-08,57,45,0.7894736842105263,0.7962076227482655,0.9649617
TCGA-06-0644-01A-02D-1492-08,58,45,0.7758620689655172,0.7752783399759643,0.961979415
TCGA-06-0749-01A-01D-1492-08,50,44,0.88,0.8659279846846065,0.97577543
TCGA-28-2502-01B-01W-0837-08,56,44,0.7857142857142857,0.7999539899842437,0.9696562799999999
TCGA-12-1089-01A-01W-0611-08,72,44,0.6111111111111112,0.6669622085261588,0.8495807200000001
TCGA-12-3649-01A-01D-1495-08,84,44,0.5238095238095238,0.6121876768069605,0.80846375
TCGA-12-3644-01A-01W-0922-08,96,44,0.4583333333333333,0.5644557344073359,0.697470365
TCGA-76-6663-01A-11D-1845-08,56,43,0.7678571428571429,0.7756341416806091,0.971568615
TCGA-14-1829-01A-01W-0643-08,63,43,0.6825396825396826,0.6622877809435891,0.9016798
TCGA-19-2623-01A-01D-1495-08,78,43,0.5512820512820513,0.6118337161740676,0.8526854500000001
TCGA-06-2563-01A-01W-0837-08,87,43,0.4942528735632184,0.5791919734370213,0.7496013
TCGA-4W-AA9T-01A-11D-A391-08,51,42,0.8235294117647058,0.8270402862652579,0.9799855
TCGA-19-5953-01B-12D-1845-08,54,42,0.7777777777777778,0.7833010497076456,0.98211536
TCGA-06-0184-01A-01D-1491-08,55,42,0.7636363636363637,0.80382678219888,0.97117203
TCGA-27-1831-01A-01D-1494-08,55,42,0.7636363636363637,0.7906721380655332,0.9368103
TCGA-14-1450-01B-01D-1845-08,60,42,0.7,0.7064091040537168,0.94623545
TCGA-02-2486-01A-01W-0837-08,69,42,0.6086956521739131,0.6960875058714795,0.86057466
TCGA-19-1387-01A-01W-0643-08,77,42,0.5454545454545454,0.5971746904536528,0.838325
TCGA-76-6193-01A-11D-1696-08,49,41,0.8367346938775511,0.8390036197531543,0.9829349
TCGA-32-4211-01A-01D-1353-08,55,41,0.7454545454545455,0.7369488866836853,0.95337236
TCGA-06-0154-01A-03D-1491-08,56,41,0.7321428571428571,0.7314897998627029,0.9217648
TCGA-06-0876-01A-01D-1492-08,66,41,0.6212121212121212,0.7078283850180446,0.87441432
TCGA-74-6578-01A-11D-1845-08,68,41,0.6029411764705882,0.6688623524065358,0.863375565
TCGA-32-4210-01A-01D-1353-08,72,41,0.5694444444444444,0.5974618205581584,0.8863222150000001
TCGA-06-6694-01A-12D-1845-08,99,41,0.41414141414141414,0.49305602219482386,0.5076395
TCGA-06-0171-01A-02D-1491-08,47,40,0.851063829787234,0.8434034354619488,0.96158546
TCGA-19-2625-01A-01D-1495-08,47,40,0.851063829787234,0.8351219735178006,0.97308326
TCGA-06-1800-01A-01W-0643-08,69,40,0.5797101449275363,0.6314576335207193,0.82412356
TCGA-06-2558-01A-01D-1494-08,77,40,0.5194805194805194,0.6171313718547722,0.79403824
TCGA-12-0692-01A-01W-0348-08,84,40,0.47619047619047616,0.5425202891952188,0.73595783
TCGA-06-0879-01A-01D-1492-08,60,39,0.65,0.7448882358473946,0.8786677
TCGA-12-0818-01A-01W-0424-08,68,39,0.5735294117647058,0.650610780596922,0.84812182
TCGA-12-0707-01A-01W-0348-08,73,39,0.5342465753424658,0.5779352925176287,0.79783547
TCGA-12-5295-01A-01D-1486-08,73,39,0.5342465753424658,0.633046680147378,0.81050307
TCGA-27-1830-01A-01D-1494-08,48,38,0.7916666666666666,0.8134450168396244,0.962142225
TCGA-76-6664-01A-11D-1845-08,50,38,0.76,0.7893095791957242,0.9329055500000001
TCGA-06-6700-01A-12D-1845-08,52,38,0.7307692307692307,0.7811410855451069,0.98907868
TCGA-28-1753-01A-01D-1494-08,52,38,0.7307692307692307,0.7640719099558514,0.9441151999999999
TCGA-02-2486-01A-01D-1494-08,59,38,0.6440677966101694,0.7142876179269715,0.8882204
TCGA-06-0152-02A-01D-2280-08,63,38,0.6031746031746031,0.6445757198798542,0.87061745
TCGA-27-1837-01A-01W-0837-08,63,38,0.6031746031746031,0.6768419963969161,0.85800195
TCGA-06-0173-01A-01D-1491-08,77,38,0.4935064935064935,0.6173534835121252,0.7319601
TCGA-32-1986-01A-01D-1494-08,41,37,0.9024390243902439,0.8826998987053839,0.97673845
TCGA-28-2501-01A-01D-1696-08,47,37,0.7872340425531915,0.8015667048882353,0.9818351
TCGA-12-1092-01B-01W-0611-08,48,37,0.7708333333333334,0.7802754650493191,0.96748268
TCGA-02-0055-01A-01D-1490-08,53,37,0.6981132075471698,0.7095982938478818,0.94349647
TCGA-28-1751-01A-02W-0643-08,55,37,0.6727272727272727,0.7155785696283605,0.9397133
TCGA-06-2562-01A-01D-1494-08,60,37,0.6166666666666667,0.6909445856847173,0.87407903
TCGA-32-5222-01A-01D-1486-08,66,37,0.5606060606060606,0.6719968644070738,0.8571764150000001
TCGA-16-0846-01A-01D-1492-08,75,37,0.49333333333333335,0.5492209238236532,0.67291504
TCGA-32-1970-01A-01D-1494-08,79,37,0.46835443037974683,0.5415184332116793,0.65735775
TCGA-19-5954-01A-11D-1696-08,83,37,0.4457831325301205,0.5699365985781968,0.6410249
TCGA-32-1970-01A-01W-0837-08,83,37,0.4457831325301205,0.5889544508213775,0.68360406
TCGA-06-2564-01A-01D-1494-08,61,36,0.5901639344262295,0.6970543244452935,0.85409755
TCGA-06-0185-01A-01D-1491-08,62,36,0.5806451612903226,0.659783653326643,0.85337415
TCGA-06-0879-01A-01W-0424-08,62,36,0.5806451612903226,0.6598036542265165,0.83104802
TCGA-41-3392-01A-01D-1495-08,67,36,0.5373134328358209,0.6007468287085166,0.7929497
TCGA-19-2625-01A-01W-0922-08,68,36,0.5294117647058824,0.5921108474286809,0.79317068
TCGA-4W-AA9R-01A-11D-A391-08,79,36,0.45569620253164556,0.5594373154185274,0.6830547
TCGA-32-4213-01A-01D-1353-08,44,35,0.7954545454545454,0.8125985029028119,0.9411883050000001
TCGA-27-2528-01A-01D-1494-08,50,35,0.7,0.7158907683488657,0.8995616150000001
TCGA-14-1829-01A-01D-1494-08,51,35,0.6862745098039216,0.7363805732600816,0.9220062
TCGA-06-2561-01A-02W-0837-08,55,35,0.6363636363636364,0.6918310464201546,0.8627674
TCGA-16-0850-01A-01W-0424-08,57,35,0.6140350877192983,0.666989479938177,0.97425044
TCGA-16-1460-01A-01W-0643-08,58,35,0.603448275862069,0.6748558928501592,0.944736
TCGA-76-6656-01A-11D-1845-08,88,35,0.3977272727272727,0.5378814716933595,0.5922149
TCGA-06-6390-01A-11D-1696-08,44,34,0.7727272727272727,0.7864357888591959,0.978344535
TCGA-12-0819-01A-01W-0424-08,49,34,0.6938775510204082,0.7230144083649671,0.89895666
TCGA-06-0211-02A-02D-2280-08,53,34,0.6415094339622641,0.6711173721522683,0.903465
TCGA-12-1088-01A-01W-0611-08,60,34,0.5666666666666667,0.6491467711915363,0.803500235
TCGA-41-3392-01A-01W-0922-08,65,34,0.5230769230769231,0.6033731927737986,0.8371892
TCGA-06-0155-01B-01D-1492-08,70,34,0.4857142857142857,0.6510543103301678,0.73815215
TCGA-19-2631-01A-01D-1353-08,77,34,0.44155844155844154,0.5450249685867756,0.59551406
TCGA-06-0145-01A-01D-1490-08,91,34,0.37362637362637363,0.5416337085071262,0.56976205
TCGA-76-6662-01A-11D-1845-08,37,33,0.8918918918918919,0.8870424063070121,0.98191845
TCGA-06-0168-01A-01D-1491-08,42,33,0.7857142857142857,0.763763442549744,0.9328033499999999
TCGA-27-1836-01A-01D-1494-08,42,33,0.7857142857142857,0.8201644981071449,0.9522281
TCGA-06-0750-01A-01D-1492-08,43,33,0.7674418604651163,0.821291112950902,0.9378729
TCGA-RR-A6KB-01A-12D-A33T-08,45,33,0.7333333333333333,0.7612906869735555,0.9788954
TCGA-12-0826-01A-01W-0424-08,48,33,0.6875,0.7196597357815411,0.9570174300000001
TCGA-14-0812-01B-01W-0643-08,50,33,0.66,0.6571182502126333,0.959961025
TCGA-19-1385-01A-02W-0643-08,58,33,0.5689655172413793,0.5948858298207828,0.7852993500000001
TCGA-16-0846-01A-01W-0424-08,59,33,0.559322033898305,0.5718610040504218,0.8578078
TCGA-06-2567-01A-01D-1494-08,60,33,0.55,0.6699711176824535,0.77787338
TCGA-06-1804-01A-01D-1696-08,85,33,0.38823529411764707,0.5520170664525232,0.56798846
TCGA-06-0650-01A-02D-1696-08,38,32,0.8421052631578947,0.8558923116070749,0.9783545499999999
TCGA-76-6282-01A-11D-1696-08,41,32,0.7804878048780488,0.811084485992096,0.9654197
TCGA-14-0736-02A-01D-2280-08,42,32,0.7619047619047619,0.7908864900448643,0.97617697
TCGA-06-A6S1-01A-11D-A33T-08,43,32,0.7441860465116279,0.7808724768241193,0.96498466
TCGA-06-0166-01A-01D-1491-08,40,31,0.775,0.7549637778572291,0.9610280499999999
TCGA-06-0219-01A-01D-1491-08,40,31,0.775,0.795033877142038,0.9440489000000001
TCGA-06-0882-01A-01W-0424-08,44,31,0.7045454545454546,0.7509191109253558,0.96652333
TCGA-14-1823-01A-01W-0643-08,44,31,0.7045454545454546,0.7727019763887071,0.93708645
TCGA-19-5958-01A-11D-1696-08,45,31,0.6888888888888889,0.7271331558730605,0.8769809
TCGA-28-1745-01B-01W-0643-08,48,31,0.6458333333333334,0.6675776793232037,0.89706118
TCGA-06-2557-01A-01D-1494-08,49,31,0.6326530612244898,0.6949131605790629,0.9307766
TCGA-06-0152-01A-02D-1492-08,54,31,0.5740740740740741,0.6537648387547018,0.8491519000000001
TCGA-06-0158-01A-01D-1491-08,54,31,0.5740740740740741,0.6936074118696873,0.8403439
TCGA-27-1834-01A-01D-1494-08,55,31,0.5636363636363636,0.6240699652472678,0.82647204
TCGA-19-1786-01A-01W-0643-08,58,31,0.5344827586206896,0.5915100080719613,0.79480795
TCGA-06-A7TK-01A-21D-A391-08,59,31,0.5254237288135594,0.6366108527088945,0.83732015
TCGA-12-1597-01B-01D-1495-08,59,31,0.5254237288135594,0.617683745652442,0.7734975
TCGA-27-1833-01A-01D-1494-08,60,31,0.5166666666666667,0.6041814590592174,0.7663565000000001
TCGA-06-0875-01A-01D-1492-08,66,31,0.4696969696969697,0.5805544641717655,0.7300446
TCGA-76-6283-01A-11D-1845-08,86,31,0.36046511627906974,0.4394752992360409,0.388198735
TCGA-76-6660-01A-11D-1845-08,87,31,0.3563218390804598,0.4650317224962343,0.44468132
TCGA-28-1750-01A-01W-0643-08,45,30,0.6666666666666666,0.6927124407003306,0.9352774
TCGA-76-6657-01A-11D-1845-08,49,30,0.6122448979591837,0.6475226096504525,0.82957935
TCGA-19-4065-01A-01D-2280-08,52,30,0.5769230769230769,0.6066023006063692,0.951021705
TCGA-14-0871-01A-01D-1492-08,54,30,0.5555555555555556,0.5724698971980868,0.912870705
TCGA-12-0820-01A-01W-0424-08,55,30,0.5454545454545454,0.6634522805479959,0.8419789
TCGA-4W-AA9S-01A-11D-A391-08,57,30,0.5263157894736842,0.5997884163687347,0.8769867
TCGA-76-4926-01B-01D-1486-08,58,30,0.5172413793103449,0.6767641768581016,0.75652645
TCGA-06-0686-01A-01W-0348-08,65,30,0.46153846153846156,0.5785021977368147,0.66159135
TCGA-19-1789-01A-01W-0643-08,69,30,0.43478260869565216,0.5681049132828323,0.6788878
TCGA-06-5858-01A-01D-1696-08,196,30,0.15306122448979592,0.19455683815645675,8.36513975e-08
TCGA-06-0171-02A-11D-2280-08,34,29,0.8529411764705882,0.8117571604632118,0.96032915
TCGA-28-5214-01A-01D-1486-08,38,29,0.7631578947368421,0.782273885816792,0.9296288500000001
TCGA-27-2519-01A-01D-1494-08,43,29,0.6744186046511628,0.7119067345384531,0.9196487
TCGA-06-0878-01A-01D-1492-08,45,29,0.6444444444444445,0.690325863527188,0.86765194
TCGA-06-5413-01A-01D-1696-08,48,29,0.6041666666666666,0.6744868333804958,0.90306443
TCGA-41-6646-01A-11D-1845-08,49,29,0.5918367346938775,0.624489486659264,0.8790948
TCGA-06-0128-01A-01D-1490-08,51,29,0.5686274509803921,0.6627857132217694,0.86123914
TCGA-27-2528-01A-01W-0837-08,52,29,0.5576923076923077,0.6242520783638859,0.842400815
TCGA-41-5651-01A-01D-1696-08,92,29,0.31521739130434784,0.4405443164157236,0.34613986500000005
TCGA-27-1832-01A-01D-1494-08,31,28,0.9032258064516129,0.8948091364327936,0.97692025
TCGA-02-0033-01A-01D-1490-08,33,28,0.8484848484848485,0.8531908820390246,0.99074835
TCGA-06-0882-01A-01D-1492-08,36,28,0.7777777777777778,0.7935509323950904,0.9799981799999999
TCGA-12-1599-01A-01W-0643-08,43,28,0.6511627906976745,0.6942115994195298,0.883505
TCGA-28-5219-01A-01D-1486-08,43,28,0.6511627906976745,0.6984367199192714,0.9079674
TCGA-26-5136-01B-01D-1486-08,50,28,0.56,0.6574509265327642,0.81022013
TCGA-41-2571-01A-01D-1495-08,50,28,0.56,0.628005247703792,0.7899636299999999
TCGA-06-0126-01A-01D-1490-08,55,28,0.509090909090909,0.6607633066012455,0.7647225
TCGA-06-0125-01A-01D-1490-08,62,28,0.45161290322580644,0.5457310786339775,0.5247510950000001
TCGA-06-0140-01A-01D-1490-08,38,27,0.7105263157894737,0.7404541508974849,0.97435565
TCGA-27-1832-01A-01W-0643-08,38,27,0.7105263157894737,0.7633205149282795,0.968987
TCGA-14-3477-01A-01W-0922-08,39,27,0.6923076923076923,0.725889067730923,0.9738798
TCGA-14-0862-01B-01D-1845-08,44,27,0.6136363636363636,0.6566334060558634,0.865782625
TCGA-06-0878-01A-01W-0424-08,46,27,0.5869565217391305,0.629562701817331,0.8336388450000001
TCGA-14-0740-01B-01D-1845-08,50,27,0.54,0.5499609698156325,0.87569368
TCGA-16-0849-01A-01W-0424-08,50,27,0.54,0.6265232345652312,0.7616145999999999
TCGA-06-0188-01A-01D-1491-08,52,27,0.5192307692307693,0.5896111795631834,0.82837855
TCGA-28-2514-01A-02W-0837-08,52,27,0.5192307692307693,0.6299942966902458,0.7582674
TCGA-76-6661-01B-11D-1845-08,53,27,0.5094339622641509,0.6183248979945731,0.7846368
TCGA-12-0688-01A-02D-1492-08,55,27,0.4909090909090909,0.6684284691222225,0.7252854
TCGA-19-5950-01A-11D-1696-08,56,27,0.48214285714285715,0.6037374624309567,0.721629625
TCGA-27-2521-01A-01W-0837-08,57,27,0.47368421052631576,0.5208326601927772,0.7051723
TCGA-32-2638-01A-01D-1495-08,58,27,0.46551724137931033,0.596303438080464,0.7007162
TCGA-06-1087-01A-02W-0611-08,60,27,0.45,0.5154824670896138,0.64769375
TCGA-27-2521-01A-01D-1494-08,61,27,0.4426229508196721,0.526728970209785,0.65364456
TCGA-12-0657-01A-01W-0348-08,63,27,0.42857142857142855,0.5511403780480638,0.64170283
TCGA-12-1597-01B-01W-0922-08,63,27,0.42857142857142855,0.5727427631798372,0.6389894
TCGA-14-1455-01A-01W-0643-08,63,27,0.42857142857142855,0.5541838469253825,0.6717509
TCGA-14-0817-01A-01D-1492-08,66,27,0.4090909090909091,0.5421421303644904,0.6027264999999999
TCGA-06-2563-01A-01D-1494-08,75,27,0.36,0.5183897582816366,0.5607219
TCGA-41-2575-01A-01W-0922-08,78,27,0.34615384615384615,0.43980946149367284,0.34900954
TCGA-26-6173-01A-11D-1845-08,32,26,0.8125,0.8392605791598234,0.97377975
TCGA-06-6389-01A-11D-1696-08,41,26,0.6341463414634146,0.6738450357720687,0.92049164
TCGA-02-2483-01A-01D-1494-08,49,26,0.5306122448979592,0.6500533502026634,0.77863276
TCGA-12-0656-01A-03W-0348-08,50,26,0.52,0.6640392081749213,0.8232825100000001
TCGA-28-2514-01A-02D-1494-08,53,26,0.49056603773584906,0.5722563883342726,0.73603785
TCGA-06-0875-01A-01W-0424-08,56,26,0.4642857142857143,0.5085934406874663,0.5339732500000001
TCGA-06-5856-01A-01D-1696-08,56,26,0.4642857142857143,0.533673907141976,0.6569178
TCGA-41-2571-01A-01W-0922-08,57,26,0.45614035087719296,0.5763647681627447,0.6691528
TCGA-19-1386-01A-01W-0643-08,60,26,0.43333333333333335,0.5180149966324072,0.6472466649999999
TCGA-28-1746-01A-01W-0643-08,73,26,0.3561643835616438,0.4157870088506606,0.2379708
TCGA-06-5418-01A-01D-1486-08,37,25,0.6756756756756757,0.708574771980101,0.88529503
TCGA-14-1827-01A-01W-0643-08,41,25,0.6097560975609756,0.6379117386123558,0.8424154
TCGA-28-1747-01C-01W-0837-08,42,25,0.5952380952380952,0.7292490022059193,0.84496225
TCGA-32-1976-01A-01W-0837-08,48,25,0.5208333333333334,0.5638674747692627,0.769169325
TCGA-06-6388-01A-12D-1845-08,49,25,0.5102040816326531,0.5810020319928643,0.80471057
TCGA-28-6450-01A-11D-1696-08,55,25,0.45454545454545453,0.5552804206396587,0.68858725
TCGA-19-1791-01A-01W-0643-08,61,25,0.4098360655737705,0.44369208758835543,0.3459786
TCGA-12-0691-01A-01W-0348-08,62,25,0.4032258064516129,0.5234851240052696,0.631916375
TCGA-32-2495-01A-01D-1353-08,64,25,0.390625,0.5189947380895794,0.5561292
TCGA-06-0195-01B-01D-1491-08,69,25,0.36231884057971014,0.49113404996517357,0.50706965
TCGA-06-0137-01A-01D-1490-08,77,25,0.3246753246753247,0.46591672103116927,0.4304851
TCGA-28-5209-01A-01D-1486-08,80,25,0.3125,0.45747538307328917,0.40059039
TCGA-06-0130-01A-01D-1490-08,27,24,0.8888888888888888,0.8849813858966918,0.98656833
TCGA-12-0827-01A-01W-0424-08,30,24,0.8,0.7888997020052341,0.90741229
TCGA-74-6577-01A-11D-1845-08,33,24,0.7272727272727273,0.7105658905679022,0.9687297
