level,group,threshold,n_variants,n_predicted_artifact,artifact_fraction,median_rep_error_probability,mean_rep_error_probability
sample,TCGA-06-0145-01A-01D-1490-08,0.75,91,34,0.373626,0.569762,0.541634
sample,TCGA-06-0145-01A-01W-0224-08,0.75,107,59,0.551402,0.824881,0.597995
sample,TCGA-06-0151-01A-01D-1491-08,0.75,17,15,0.882353,0.970819,0.842057
sample,TCGA-06-0152-01A-02D-1492-08,0.75,54,31,0.574074,0.849152,0.653765
sample,TCGA-06-0152-01A-02W-0323-08,0.75,45,20,0.444444,0.600597,0.547957
sample,TCGA-06-0152-02A-01D-2280-08,0.75,63,38,0.603175,0.870617,0.644576
sample,TCGA-06-0154-01A-03D-1491-08,0.75,56,41,0.732143,0.921765,0.73149
sample,TCGA-06-0155-01B-01D-1492-08,0.75,70,34,0.485714,0.738152,0.651054
sample,TCGA-06-0157-01A-01D-1491-08,0.75,51,23,0.45098,0.695777,0.576017
sample,TCGA-06-0158-01A-01D-1491-08,0.75,54,31,0.574074,0.840344,0.693607
sample,TCGA-06-0166-01A-01D-1491-08,0.75,40,31,0.775,0.961028,0.754964
sample,TCGA-06-0168-01A-01D-1491-08,0.75,42,33,0.785714,0.932803,0.763763
sample,TCGA-06-0169-01A-01D-1490-08,0.75,48,45,0.9375,0.983781,0.93472
sample,TCGA-06-0171-01A-02D-1491-08,0.75,47,40,0.851064,0.961585,0.843403
sample,TCGA-06-0171-02A-11D-2280-08,0.75,34,29,0.852941,0.960329,0.811757
sample,TCGA-06-0173-01A-01D-1491-08,0.75,77,38,0.493506,0.73196,0.617353
sample,TCGA-06-0174-01A-01D-1491-08,0.75,69,19,0.275362,0.279812,0.408555
sample,TCGA-06-0184-01A-01D-1491-08,0.75,55,42,0.763636,0.971172,0.803827
sample,TCGA-06-0185-01A-01D-1491-08,0.75,62,36,0.580645,0.853374,0.659784
sample,TCGA-06-0185-01A-01W-0254-08,0.75,15,6,0.4,3e-06,0.377414
sample,TCGA-06-0187-01A-01D-1491-08,0.75,42,12,0.285714,0.394254,0.460963
sample,TCGA-06-0188-01A-01D-1491-08,0.75,52,27,0.519231,0.828379,0.589611
sample,TCGA-06-0188-01A-01W-0254-08,0.75,15,1,0.066667,8.1e-05,0.19693
sample,TCGA-06-0189-01A-01D-1491-08,0.75,16,14,0.875,0.927206,0.829495
sample,TCGA-06-0190-01A-01D-1491-08,0.75,57,49,0.859649,0.976074,0.847783
sample,TCGA-06-0190-02A-01D-2280-08,0.75,99,67,0.676768,0.92156,0.709072
sample,TCGA-06-0192-01B-01D-1492-08,0.75,69,51,0.73913,0.966262,0.757701
sample,TCGA-06-0195-01B-01D-1491-08,0.75,69,25,0.362319,0.50707,0.491134
sample,TCGA-06-0209-01A-01D-1491-08,0.75,73,61,0.835616,0.984816,0.83678
sample,TCGA-06-0210-01B-01D-1491-08,0.75,60,55,0.916667,0.991206,0.917913
sample,TCGA-06-0210-02A-01D-2280-08,0.75,67,46,0.686567,0.91153,0.723307
sample,TCGA-06-0211-01B-01D-1491-08,0.75,60,22,0.366667,0.565204,0.526096
sample,TCGA-06-0211-02A-02D-2280-08,0.75,53,34,0.641509,0.903465,0.671117
sample,TCGA-06-0213-01A-01D-1491-08,0.75,63,52,0.825397,0.966331,0.828904
sample,TCGA-06-0214-01A-02D-1491-08,0.75,70,61,0.871429,0.94226,0.86424
sample,TCGA-06-0216-01B-01D-1492-08,0.75,62,20,0.322581,0.30226,0.413694
sample,TCGA-06-0219-01A-01D-1491-08,0.75,40,31,0.775,0.944049,0.795034
sample,TCGA-06-0221-01A-01D-1491-08,0.75,29,13,0.448276,0.705219,0.583271
sample,TCGA-06-0221-02A-11D-2280-08,0.75,45,19,0.422222,0.458327,0.491366
sample,TCGA-06-0237-01A-02D-1491-08,0.75,38,9,0.236842,0.418295,0.430989
sample,TCGA-06-0238-01A-02D-1492-08,0.75,40,21,0.525,0.790325,0.670094
sample,TCGA-06-0240-01A-03D-1491-08,0.75,1,0,0.0,0.027137,0.027137
sample,TCGA-06-0241-01A-02D-1491-08,0.75,59,9,0.152542,0.276725,0.389852
sample,TCGA-06-0644-01A-02D-1492-08,0.75,58,45,0.775862,0.961979,0.775278
sample,TCGA-06-0645-01A-01D-1492-08,0.75,57,45,0.789474,0.964962,0.796208
sample,TCGA-06-0646-01A-01D-1492-08,0.75,33,16,0.484848,0.667767,0.541013
sample,TCGA-06-0648-01A-01D-1492-08,0.75,59,19,0.322034,0.451836,0.480698
sample,TCGA-06-0648-01A-01W-0323-08,0.75,50,14,0.28,0.360238,0.43757
sample,TCGA-06-0649-01B-01D-1492-08,0.75,94,71,0.755319,0.962866,0.776673
sample,TCGA-06-0649-01B-01W-0348-08,0.75,90,57,0.633333,0.904711,0.693227
sample,TCGA-06-0650-01A-02D-1696-08,0.75,38,32,0.842105,0.978355,0.855892
sample,TCGA-06-0686-01A-01D-1492-08,0.75,64,24,0.375,0.370865,0.478605
sample,TCGA-06-0686-01A-01W-0348-08,0.75,65,30,0.461538,0.661591,0.578502
sample,TCGA-06-0743-01A-01D-1492-08,0.75,94,51,0.542553,0.84492,0.630758
sample,TCGA-06-0744-01A-01D-1492-08,0.75,74,17,0.22973,0.283569,0.362299
sample,TCGA-06-0744-01A-01W-0348-08,0.75,75,22,0.293333,0.327983,0.417695
sample,TCGA-06-0745-01A-01D-1492-08,0.75,54,20,0.37037,0.308571,0.448414
sample,TCGA-06-0745-01A-01W-0348-08,0.75,53,22,0.415094,0.509843,0.498309
sample,TCGA-06-0747-01A-01D-1492-08,0.75,72,21,0.291667,0.310802,0.401948
sample,TCGA-06-0747-01A-01W-0348-08,0.75,62,19,0.306452,0.278182,0.415613
sample,TCGA-06-0749-01A-01D-1492-08,0.75,50,44,0.88,0.975775,0.865928
sample,TCGA-06-0749-01A-01W-0348-08,0.75,66,54,0.818182,0.948883,0.812875
sample,TCGA-06-0750-01A-01D-1492-08,0.75,43,33,0.767442,0.937873,0.821291
sample,TCGA-06-0875-01A-01D-1492-08,0.75,66,31,0.469697,0.730045,0.580554
sample,TCGA-06-0875-01A-01W-0424-08,0.75,56,26,0.464286,0.533973,0.508593
sample,TCGA-06-0876-01A-01D-1492-08,0.75,66,41,0.621212,0.874414,0.707828
sample,TCGA-06-0876-01A-01W-0424-08,0.75,62,24,0.387097,0.620613,0.528789
sample,TCGA-06-0877-01A-01D-1492-08,0.75,72,48,0.666667,0.923073,0.73007
sample,TCGA-06-0877-01A-01W-0424-08,0.75,88,55,0.625,0.854523,0.681468
sample,TCGA-06-0878-01A-01D-1492-08,0.75,45,29,0.644444,0.867652,0.690326
sample,TCGA-06-0878-01A-01W-0424-08,0.75,46,27,0.586957,0.833639,0.629563
sample,TCGA-06-0879-01A-01D-1492-08,0.75,60,39,0.65,0.878668,0.744888
sample,TCGA-06-0879-01A-01W-0424-08,0.75,62,36,0.580645,0.831048,0.659804
sample,TCGA-06-0881-01A-02D-1492-08,0.75,13,8,0.615385,0.862575,0.644682
sample,TCGA-06-0881-01A-02W-0424-08,0.75,93,68,0.731183,0.90302,0.774261
sample,TCGA-06-0882-01A-01D-1492-08,0.75,36,28,0.777778,0.979998,0.793551
sample,TCGA-06-0882-01A-01W-0424-08,0.75,44,31,0.704545,0.966523,0.750919
sample,TCGA-06-0939-01A-01D-1353-08,0.75,69,60,0.869565,0.966373,0.852595
sample,TCGA-06-1084-01A-01W-0611-08,0.75,82,53,0.646341,0.956651,0.731683
sample,TCGA-06-1087-01A-02W-0611-08,0.75,60,27,0.45,0.647694,0.515482
sample,TCGA-06-1800-01A-01W-0643-08,0.75,69,40,0.57971,0.824124,0.631458
sample,TCGA-06-1804-01A-01D-1696-08,0.75,85,33,0.388235,0.567988,0.552017
sample,TCGA-06-1806-01A-02D-1845-08,0.75,20,15,0.75,0.966791,0.742823
sample,TCGA-06-2557-01A-01D-1494-08,0.75,49,31,0.632653,0.930777,0.694913
sample,TCGA-06-2558-01A-01D-1494-08,0.75,77,40,0.519481,0.794038,0.617131
sample,TCGA-06-2558-01A-01W-0837-08,0.75,99,51,0.515152,0.787156,0.587441
sample,TCGA-06-2559-01A-01D-1494-08,0.75,59,17,0.288136,0.425261,0.457213
sample,TCGA-06-2559-01A-01W-0837-08,0.75,62,21,0.33871,0.388328,0.478009
sample,TCGA-06-2561-01A-02D-1494-08,0.75,30,22,0.733333,0.969376,0.725306
sample,TCGA-06-2561-01A-02W-0837-08,0.75,55,35,0.636364,0.862767,0.691831
sample,TCGA-06-2562-01A-01D-1494-08,0.75,60,37,0.616667,0.874079,0.690945
sample,TCGA-06-2562-01A-01W-0837-08,0.75,85,58,0.682353,0.915711,0.682366
sample,TCGA-06-2563-01A-01D-1494-08,0.75,75,27,0.36,0.560722,0.51839
sample,TCGA-06-2563-01A-01W-0837-08,0.75,87,43,0.494253,0.749601,0.579192
sample,TCGA-06-2564-01A-01D-1494-08,0.75,61,36,0.590164,0.854098,0.697054
sample,TCGA-06-2565-01A-01D-1494-08,0.75,49,12,0.244898,0.292739,0.413867
sample,TCGA-06-2567-01A-01D-1494-08,0.75,60,33,0.55,0.777873,0.669971
sample,TCGA-06-2567-01A-01W-0837-08,0.75,79,48,0.607595,0.893114,0.6736
sample,TCGA-06-2569-01A-01D-1494-08,0.75,28,14,0.5,0.760389,0.579625
sample,TCGA-06-2569-01A-01W-0837-08,0.75,30,16,0.533333,0.872463,0.571877
sample,TCGA-06-2570-01A-01D-1495-08,0.75,31,8,0.258065,0.204234,0.361962
sample,TCGA-06-5408-01A-01D-1696-08,0.75,44,18,0.409091,0.59993,0.495433
sample,TCGA-06-5410-01A-01D-1696-08,0.75,20,13,0.65,0.912245,0.701701
sample,TCGA-06-5411-01A-01D-1696-08,0.75,35,24,0.685714,0.961892,0.717792
sample,TCGA-06-5412-01A-01D-1696-08,0.75,51,45,0.882353,0.976841,0.871358
sample,TCGA-06-5413-01A-01D-1696-08,0.75,48,29,0.604167,0.903064,0.674487
sample,TCGA-06-5414-01A-01D-1486-08,0.75,31,21,0.677419,0.882652,0.708569
sample,TCGA-06-5415-01A-01D-1486-08,0.75,48,23,0.479167,0.628643,0.539735
sample,TCGA-06-5416-01A-01D-1486-08,0.75,15171,9517,0.627315,0.970634,0.687791
sample,TCGA-06-5417-01A-01D-1486-08,0.75,54,13,0.240741,0.121671,0.311719
sample,TCGA-06-5418-01A-01D-1486-08,0.75,37,25,0.675676,0.885295,0.708575
sample,TCGA-06-5856-01A-01D-1696-08,0.75,56,26,0.464286,0.656918,0.533674
sample,TCGA-06-5858-01A-01D-1696-08,0.75,196,30,0.153061,0.0,0.194557
sample,TCGA-06-5859-01A-01D-1696-08,0.75,46,16,0.347826,0.586453,0.51231
sample,TCGA-06-6388-01A-12D-1845-08,0.75,49,25,0.510204,0.804711,0.581002
sample,TCGA-06-6389-01A-11D-1696-08,0.75,41,26,0.634146,0.920492,0.673845
sample,TCGA-06-6390-01A-11D-1696-08,0.75,44,34,0.772727,0.978345,0.786436
sample,TCGA-06-6391-01A-11D-1696-08,0.75,71,61,0.859155,0.989615,0.867004
sample,TCGA-06-6693-01A-11D-1845-08,0.75,54,11,0.203704,0.047665,0.311242
sample,TCGA-06-6694-01A-12D-1845-08,0.75,99,41,0.414141,0.50764,0.493056
sample,TCGA-06-6695-01A-11D-1845-08,0.75,51,20,0.392157,0.436637,0.465125
sample,TCGA-06-6697-01A-11D-1845-08,0.75,66,55,0.833333,0.982622,0.872369
sample,TCGA-06-6698-01A-11D-1845-08,0.75,36,13,0.361111,0.00084,0.402359
sample,TCGA-06-6699-01A-11D-1845-08,0.75,67,19,0.283582,0.25535,0.38756
sample,TCGA-06-6700-01A-12D-1845-08,0.75,52,38,0.730769,0.989079,0.781141
sample,TCGA-06-6701-01A-11D-1845-08,0.75,32,16,0.5,0.718154,0.577349
sample,TCGA-06-A5U0-01A-11D-A33T-08,0.75,32,6,0.1875,0.001242,0.264161
sample,TCGA-06-A5U1-01A-11D-A33T-08,0.75,78,53,0.679487,0.904916,0.717265
sample,TCGA-06-A6S0-01A-11D-A33T-08,0.75,61,18,0.295082,0.263988,0.405635
sample,TCGA-06-A6S1-01A-11D-A33T-08,0.75,43,32,0.744186,0.964985,0.780872
sample,TCGA-06-A7TK-01A-21D-A391-08,0.75,59,31,0.525424,0.83732,0.636611
sample,TCGA-06-A7TL-01A-11D-A391-08,0.75,27,11,0.407407,0.437109,0.472667
sample,TCGA-08-0386-01A-01D-1492-08,0.75,15,10,0.666667,0.88227,0.649152
sample,TCGA-12-0615-01A-01D-1492-08,0.75,61,17,0.278689,0.439069,0.455125
sample,TCGA-12-0616-01A-01D-1492-08,0.75,39,15,0.384615,0.660193,0.514508
sample,TCGA-12-0618-01A-01D-1492-08,0.75,37,6,0.162162,0.19784,0.32932
sample,TCGA-12-0619-01A-01D-1492-08,0.75,53,24,0.45283,0.671903,0.559605
sample,TCGA-12-0656-01A-03W-0348-08,0.75,50,26,0.52,0.823283,0.664039
sample,TCGA-12-0657-01A-01W-0348-08,0.75,63,27,0.428571,0.641703,0.55114
sample,TCGA-12-0662-01A-01W-0348-08,0.75,30,19,0.633333,0.927785,0.672298
sample,TCGA-12-0670-01B-01W-0424-08,0.75,59,18,0.305085,0.387719,0.460948
sample,TCGA-12-0688-01A-02D-1492-08,0.75,55,27,0.490909,0.725285,0.668428
sample,TCGA-12-0691-01A-01W-0348-08,0.75,62,25,0.403226,0.631916,0.523485
sample,TCGA-12-0692-01A-01D-1492-08,0.75,64,19,0.296875,0.38657,0.44854
sample,TCGA-12-0692-01A-01W-0348-08,0.75,84,40,0.47619,0.735958,0.54252
sample,TCGA-12-0707-01A-01W-0348-08,0.75,73,39,0.534247,0.797835,0.577935
sample,TCGA-12-0773-01A-01W-0348-08,0.75,42,20,0.47619,0.599817,0.506886
sample,TCGA-12-0775-01A-01W-0348-08,0.75,112,76,0.678571,0.898855,0.743115
sample,TCGA-12-0818-01A-01W-0424-08,0.75,68,39,0.573529,0.848122,0.650611
sample,TCGA-12-0819-01A-01W-0424-08,0.75,49,34,0.693878,0.898957,0.723014
sample,TCGA-12-0820-01A-01W-0424-08,0.75,55,30,0.545455,0.841979,0.663452
sample,TCGA-12-0821-01A-01D-1492-08,0.75,60,16,0.266667,0.305193,0.404109
sample,TCGA-12-0821-01A-01W-0424-08,0.75,58,22,0.37931,0.550666,0.490425
sample,TCGA-12-0826-01A-01W-0424-08,0.75,48,33,0.6875,0.957017,0.71966
sample,TCGA-12-0827-01A-01W-0424-08,0.75,30,24,0.8,0.907412,0.7889
sample,TCGA-12-0829-01A-01W-0424-08,0.75,152,89,0.585526,0.907409,0.639444
sample,TCGA-12-1088-01A-01W-0611-08,0.75,60,34,0.566667,0.8035,0.649147
sample,TCGA-12-1089-01A-01W-0611-08,0.75,72,44,0.611111,0.849581,0.666962
sample,TCGA-12-1092-01B-01W-0611-08,0.75,48,37,0.770833,0.967483,0.780275
sample,TCGA-12-1093-01A-01W-0611-08,0.75,66,52,0.787879,0.946911,0.824713
sample,TCGA-12-1597-01B-01D-1495-08,0.75,59,31,0.525424,0.773498,0.617684
sample,TCGA-12-1597-01B-01W-0922-08,0.75,63,27,0.428571,0.638989,0.572743
sample,TCGA-12-1598-01A-01W-0643-08,0.75,57,23,0.403509,0.506367,0.503098
sample,TCGA-12-1599-01A-01W-0643-08,0.75,43,28,0.651163,0.883505,0.694212
sample,TCGA-12-1600-01A-01W-0643-08,0.75,66,17,0.257576,0.430838,0.416225
sample,TCGA-12-1602-01A-01W-0643-08,0.75,46,16,0.347826,0.439382,0.450717
sample,TCGA-12-3644-01A-01W-0922-08,0.75,96,44,0.458333,0.69747,0.564456
sample,TCGA-12-3646-01A-01W-0922-08,0.75,78,24,0.307692,0.242831,0.387847
sample,TCGA-12-3648-01A-01W-0922-08,0.75,52,13,0.25,0.159886,0.348206
sample,TCGA-12-3649-01A-01D-1495-08,0.75,84,44,0.52381,0.808464,0.612188
sample,TCGA-12-3649-01A-01W-0922-08,0.75,94,46,0.489362,0.715514,0.53912
sample,TCGA-12-3650-01A-01D-1495-08,0.75,52,19,0.365385,0.50779,0.512665
sample,TCGA-12-3650-01A-01W-0922-08,0.75,53,16,0.301887,0.57809,0.492151
sample,TCGA-12-3651-01A-01W-0922-08,0.75,97,76,0.783505,0.970184,0.789368
sample,TCGA-12-3652-01A-01D-1495-08,0.75,64,21,0.328125,0.383982,0.462265
sample,TCGA-12-3652-01A-01W-0922-08,0.75,64,15,0.234375,0.307336,0.388334
sample,TCGA-12-3653-01A-01D-1495-08,0.75,27,13,0.481481,0.587263,0.52553
sample,TCGA-12-3653-01A-01W-0922-08,0.75,28,10,0.357143,0.240156,0.425455
sample,TCGA-12-5295-01A-01D-1486-08,0.75,73,39,0.534247,0.810503,0.633047
sample,TCGA-12-5299-01A-02D-1486-08,0.75,33,9,0.272727,0.325127,0.412647
sample,TCGA-12-5301-01A-01D-1486-08,0.75,65,18,0.276923,0.467209,0.463622
sample,TCGA-14-0736-01A-01D-2280-08,0.75,63,46,0.730159,0.943061,0.750957
sample,TCGA-14-0736-02A-01D-2280-08,0.75,42,32,0.761905,0.976177,0.790886
sample,TCGA-14-0740-01B-01D-1845-08,0.75,50,27,0.54,0.875694,0.549961
sample,TCGA-14-0781-01B-01D-1696-08,0.75,25,21,0.84,0.967995,0.805189
sample,TCGA-14-0786-01B-01D-1492-08,0.75,36,11,0.305556,0.463837,0.45891
sample,TCGA-14-0787-01A-01D-1492-08,0.75,34,15,0.441176,0.482836,0.535026
sample,TCGA-14-0789-01A-01D-1492-08,0.75,70,63,0.9,0.985837,0.895278
sample,TCGA-14-0789-01A-01W-0424-08,0.75,72,55,0.763889,0.948243,0.770603
sample,TCGA-14-0790-01B-01D-1494-08,0.75,63,13,0.206349,0.233329,0.36646
sample,TCGA-14-0790-01B-01W-0837-08,0.75,64,13,0.203125,0.343722,0.384224
sample,TCGA-14-0812-01B-01W-0643-08,0.75,50,33,0.66,0.959961,0.657118
sample,TCGA-14-0813-01A-01D-1492-08,0.75,100,58,0.58,0.861125,0.647794
sample,TCGA-14-0817-01A-01D-1492-08,0.75,66,27,0.409091,0.602726,0.542142
sample,TCGA-14-0862-01B-01D-1845-08,0.75,44,27,0.613636,0.865783,0.656633
sample,TCGA-14-0865-01B-01W-0643-08,0.75,52,17,0.326923,0.302402,0.424923
sample,TCGA-14-0871-01A-01D-1492-08,0.75,54,30,0.555556,0.912871,0.57247
sample,TCGA-14-0871-01A-01W-0424-08,0.75,108,59,0.546296,0.779417,0.589875
sample,TCGA-14-1034-01A-01D-1492-08,0.75,75,60,0.8,0.936042,0.804777
sample,TCGA-14-1034-02B-01D-2280-08,0.75,77,23,0.298701,0.197945,0.37195
sample,TCGA-14-1037-01A-01W-0643-08,0.75,54,21,0.388889,0.611479,0.515352
sample,TCGA-14-1043-01B-11D-1845-08,0.75,22,17,0.772727,0.978926,0.754027
sample,TCGA-14-1395-01B-11D-1845-08,0.75,48,11,0.229167,0.205295,0.357287
sample,TCGA-14-1396-01A-01W-0611-08,0.75,187,112,0.59893,0.858734,0.645946
sample,TCGA-14-1450-01B-01D-1845-08,0.75,60,42,0.7,0.946235,0.706409
sample,TCGA-14-1451-01A-01W-0611-08,0.75,29,13,0.448276,0.592525,0.554172
sample,TCGA-14-1453-01A-01W-0611-08,0.75,63,20,0.31746,0.16426,0.396757
sample,TCGA-14-1455-01A-01W-0643-08,0.75,63,27,0.428571,0.671751,0.554184
sample,TCGA-14-1456-01B-01D-1494-08,0.75,25,14,0.56,0.863593,0.647361
sample,TCGA-14-1795-01A-01W-0643-08,0.75,196,120,0.612245,0.92945,0.627034
sample,TCGA-14-1821-01A-01W-0643-08,0.75,19,3,0.157895,0.101416,0.258665
sample,TCGA-14-1823-01A-01D-1494-08,0.75,54,46,0.851852,0.971693,0.848699
sample,TCGA-14-1823-01A-01W-0643-08,0.75,44,31,0.704545,0.937086,0.772702
sample,TCGA-14-1825-01A-01D-1494-08,0.75,55,16,0.290909,0.27282,0.392569
sample,TCGA-14-1825-01A-01W-0643-08,0.75,86,46,0.534884,0.826757,0.54469
sample,TCGA-14-1827-01A-01W-0643-08,0.75,41,25,0.609756,0.842415,0.637912
sample,TCGA-14-1829-01A-01D-1494-08,0.75,51,35,0.686275,0.922006,0.736381
sample,TCGA-14-1829-01A-01W-0643-08,0.75,63,43,0.68254,0.90168,0.662288
sample,TCGA-14-2554-01A-01D-1494-08,0.75,71,57,0.802817,0.947761,0.824983
sample,TCGA-14-2554-01A-01W-0837-08,0.75,72,51,0.708333,0.945303,0.782924
sample,TCGA-14-3476-01B-01D-1353-08,0.75,63,46,0.730159,0.916407,0.771546
sample,TCGA-14-3477-01A-01W-0922-08,0.75,39,27,0.692308,0.97388,0.725889
sample,TCGA-14-4157-01A-01D-1353-08,0.75,29,4,0.137931,0.242606,0.349837
sample,TCGA-15-0742-01A-01D-1492-08,0.75,69,13,0.188406,0.256367,0.353658
sample,TCGA-15-0742-01A-01W-0348-08,0.75,72,15,0.208333,0.20811,0.338432
sample,TCGA-15-1446-01A-01W-0611-08,0.75,90,59,0.655556,0.855767,0.71725
sample,TCGA-16-0846-01A-01D-1492-08,0.75,75,37,0.493333,0.672915,0.549221
sample,TCGA-16-0846-01A-01W-0424-08,0.75,59,33,0.559322,0.857808,0.571861
sample,TCGA-16-0848-01A-01D-1492-08,0.75,352,200,0.568182,0.859834,0.651329
sample,TCGA-16-0848-01A-01W-0424-08,0.75,280,141,0.503571,0.76564,0.577557
sample,TCGA-16-0849-01A-01W-0424-08,0.75,50,27,0.54,0.761615,0.626523
sample,TCGA-16-0850-01A-01W-0424-08,0.75,57,35,0.614035,0.97425,0.666989
sample,TCGA-16-0861-01A-01D-1492-08,0.75,60,15,0.25,0.452996,0.458536
sample,TCGA-16-0861-01A-01W-0424-08,0.75,57,24,0.421053,0.610989,0.526348
sample,TCGA-16-1045-01B-01D-1492-08,0.75,81,62,0.765432,0.969506,0.807708
sample,TCGA-16-1045-01B-01W-0611-08,0.75,81,56,0.691358,0.937308,0.747364
sample,TCGA-16-1048-01B-01D-1353-08,0.75,67,50,0.746269,0.958193,0.792179
sample,TCGA-16-1460-01A-01W-0643-08,0.75,58,35,0.603448,0.944736,0.674856
sample,TCGA-19-0957-01C-01W-0643-08,0.75,86,52,0.604651,0.886235,0.660015
sample,TCGA-19-0957-02A-11D-2280-08,0.75,121,101,0.834711,0.972414,0.844114
sample,TCGA-19-1385-01A-02W-0643-08,0.75,58,33,0.568966,0.785299,0.594886
sample,TCGA-19-1386-01A-01W-0643-08,0.75,60,26,0.433333,0.647247,0.518015
sample,TCGA-19-1387-01A-01W-0643-08,0.75,77,42,0.545455,0.838325,0.597175
sample,TCGA-19-1389-02A-21D-2280-08,0.75,27,22,0.814815,0.971424,0.837356
sample,TCGA-19-1390-01A-01D-1495-08,0.75,119,55,0.462185,0.529096,0.503403
sample,TCGA-19-1390-01A-01W-0922-08,0.75,153,57,0.372549,0.271317,0.428817
sample,TCGA-19-1786-01A-01W-0643-08,0.75,58,31,0.534483,0.794808,0.59151
sample,TCGA-19-1787-01B-01D-1495-08,0.75,655,152,0.232061,0.0,0.249843
sample,TCGA-19-1787-01B-01W-0922-08,0.75,598,133,0.222408,1e-06,0.242448
sample,TCGA-19-1788-01A-01W-0643-08,0.75,70,47,0.671429,0.91139,0.67194
sample,TCGA-19-1789-01A-01W-0643-08,0.75,69,30,0.434783,0.678888,0.568105
sample,TCGA-19-1790-01B-01D-1353-08,0.75,80,68,0.85,0.980763,0.830316
sample,TCGA-19-1791-01A-01W-0643-08,0.75,61,25,0.409836,0.345979,0.443692
sample,TCGA-19-2620-01A-01D-1495-08,0.75,67,50,0.746269,0.953139,0.76828
sample,TCGA-19-2620-01A-01W-0922-08,0.75,109,75,0.688073,0.896822,0.727885
sample,TCGA-19-2621-01B-01W-0922-08,0.75,86,52,0.604651,0.891803,0.637043
sample,TCGA-19-2623-01A-01D-1495-08,0.75,78,43,0.551282,0.852685,0.611834
sample,TCGA-19-2624-01A-01D-1495-08,0.75,39,13,0.333333,0.387783,0.449669
sample,TCGA-19-2624-01A-01W-0922-08,0.75,35,6,0.171429,0.014495,0.299731
sample,TCGA-19-2625-01A-01D-1495-08,0.75,47,40,0.851064,0.973083,0.835122
sample,TCGA-19-2625-01A-01W-0922-08,0.75,68,36,0.529412,0.793171,0.592111
sample,TCGA-19-2629-01A-01D-1495-08,0.75,70,52,0.742857,0.955928,0.780927
sample,TCGA-19-2629-01A-01W-0922-08,0.75,69,51,0.73913,0.972772,0.75186
sample,TCGA-19-2631-01A-01D-1353-08,0.75,77,34,0.441558,0.595514,0.545025
sample,TCGA-19-4065-01A-01D-2280-08,0.75,52,30,0.576923,0.951022,0.606602
sample,TCGA-19-4065-02A-11D-2280-08,0.75,99,77,0.777778,0.987215,0.79639
sample,TCGA-19-4068-01A-01D-1353-08,0.75,59,18,0.305085,0.606329,0.5015
sample,TCGA-19-5947-01A-11D-1696-08,0.75,22,17,0.772727,0.977398,0.787846
sample,TCGA-19-5950-01A-11D-1696-08,0.75,56,27,0.482143,0.72163,0.603737
